speed_mps,altitude_m,alpha_deg,pitch_deg,elevator_deg,residual_score,feasible
90.0,0.0,-5.0,-5.0,-4.0,110.2363585121811,True
120.0,0.0,-5.0,-5.0,-4.0,50.62980317540497,True
90.0,1000.0,-5.0,-5.0,-4.0,116.2285180102932,True
120.0,1000.0,-5.0,-5.0,-4.0,61.94387210937685,True
