time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,1000.0,83.0,1.5,14.0,84.18580640464282,18.0,1.0000000000000002,8.000000000000004,1.0000000000000002,0.0,0.0,0.0,-1.0827684347795592,-6.349201456408931,4114.848473868095,0.2557463875601956,86.0417728600201,1.7167595994472478,1.1116425003060326,89874.56291621955,281.65,-1.6186018662344348,9.566354501788709,0.6653526424403756,319.2,0.17131232378029196,0.84,nominal,13350.275,nan,altitude_hold,20.0,2.0,0.0,-20.05352282957881,7.04999999999992,-0.766821237947644,-2.6999999999999997,2.6999999999999997,-0.4600927427685864,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.047123889803846894,-0.008030133225843164,-0.047123889803846894,0.047123889803846894,-0.008030133225843164,0.0,1.0,16.864680307905445,1.2586655602157644,-0.8404404528891691,-0.005526002259025985,-0.0024404616361534746,-0.0006126780109707863,16.932454666562066,0.006071896599039241,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,1002.0904441399286,0.0,1.0,85.79311618127807,4168.7033634385725,1.0,1.0,-0.10896602917947859,17.95460209662717,-1.1729541591912578,-44.39431660708244,1.0,999.6310945825524,0.0,1.0,0.49971564607647456,7.729319069471869
0.03,2.5050417172623867,0.04631630535948966,1000.4124417216282,83.5013905754129,1.543876845316322,13.748057387604675,84.63967666333579,17.994860630286592,1.1073330838511335,8.374059019546674,0.8788029603204228,3.002465195386334,-12.540106365730965,-3.7687909584433728,-0.5973703728779359,-6.240746044345915,4172.830242485442,0.25754837048192725,86.64760875255695,1.7482863433851124,1.1115974690604664,89870.06677842751,281.6473191288094,-1.7402188133972638,9.672186407043261,0.4963890016830311,324.87,0.17435537163691558,0.84,nominal,13392.632104446418,nan,altitude_hold,19.907233145759406,2.0,0.0,-1.3248711636879251,-1.4960134737744915,-6.18632687112134,-1.8749226982127554,0.18239191573530517,-3.1600927427685863,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03272357430418858,0.0031833394586011296,-0.05515402302969006,-0.03272357430418858,0.0031833394586011296,-0.05515402302969006,0.03,1.0,17.243667003371595,0.8338617973801589,-0.6524316165463249,0.04763640876432344,-0.22117795663459747,-0.07532162878648896,17.27614089530893,0.23845809632735734,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,1002.0904441399286,0.0,1.0,86.6659353729813,4176.25516314426,1.0,1.0,-0.10896602917947859,17.95460209662717,-1.1729541591912578,-44.39431660708244,1.0,999.6310945825524,0.0,1.0,0.49971564607647456,7.729319069471869
0.06,5.02537523583638,0.09372987611701357,1000.8178073741036,84.01111728579977,1.5804523585841304,13.51218841584783,85.10549273138326,17.989629969137486,1.2765587890683108,8.96798991530581,0.6760339440326194,4.621856381151316,-19.932598003179116,-6.268536198073063,0.25327322811314285,-6.493692052817444,4177.619937487225,0.25770247438342603,86.69904874559809,1.78093793171188,1.1115532117547007,89865.64795623602,281.6446842520683,-1.2808454398473872,10.368936306524299,0.6759624247237332,330.53999999999996,0.17739841949353916,0.84,nominal,13436.142397211019,nan,altitude_hold,19.907233145759406,2.0,0.0,0.7996242721760481,-2.728301059441563,-7.322158473424385,-0.27019451597947336,-1.5640238693708155,-5.657332181162066,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.004715783924674241,-0.027297366100302423,-0.09873907344031037,-0.004715783924674241,-0.027297366100302423,-0.09873907344031037,0.06,1.0,17.530494353491804,0.6071576157760405,0.19948921419260196,0.0657757495017558,-0.35804866773441174,-0.11751790249241209,17.542139795212616,0.3825385668074802,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,999.5810538014432,0.0,1.0,87.27448161596587,4173.220907720413,1.0,1.0,-1.2039612753365119,17.18985781978314,-1.2880922111875726,-44.80681156187436,1.0,1000.8660096672413,0.0,1.0,1.1036945440501185,8.368754158557099
0.09,7.561183935191822,0.1420523710600826,1001.2169507561001,84.52695664518141,1.6107498314356343,13.304779399883234,85.58281410187098,17.984308016552678,1.4768344821930073,9.518091245145222,0.4265294892868237,5.339973334509303,-18.52880021774912,-7.766020332638221,0.955265845705634,-6.586502419864628,4219.338057229747,0.2589922686003486,87.13257391825094,1.806362240186126,1.1115096351056717,89861.2971338616,281.64208982008535,-1.179927535131458,10.926849743585647,0.6704719733268328,336.21,0.18044146735016278,0.84,nominal,13480.793244930011,nan,altitude_hold,19.907233145759406,2.0,0.0,0.5958213705383226,-3.121640302909364,-7.8805339991034815,0.24941501593120421,-2.4985937294939444,-6.991253271926915,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.004353113231913624,-0.04360868724935388,-0.12202038843595112,0.004353113231913624,-0.04360868724935388,-0.12202038843595112,0.09,1.0,17.561257020160582,0.8601353070013779,0.6297644588991768,0.08898551301100244,-0.3213490614640877,-0.14339824996948292,17.59358360733203,0.3629692809646453,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,999.5810538014432,0.0,1.0,87.9876626956436,4196.828041033478,1.0,1.0,-1.2039612753365119,17.18985781978314,-1.2880922111875726,-44.80681156187436,1.0,1000.8660096672413,0.0,1.0,1.1036945440501185,8.368754158557099
0.12,10.112573846122862,0.19114507734860203,1001.6105587147657,85.046330364368,1.636423542950648,13.12026528885403,86.06798215194227,17.978894772532172,1.6904125844495919,9.908249315557638,0.150178781025457,5.565102968274272,-13.25129106118427,-8.71683482595241,1.375354302745902,-6.513519709002031,4239.811496735588,0.25962605846302184,87.3454026366954,1.8349242059997548,1.1114666640687392,89857.00681684959,281.639531368354,-0.8503092112660503,11.25381303304954,0.5308852097639679,341.88,0.18348451520678638,0.84,nominal,13526.292961473686,nan,altitude_hold,19.907233145759406,2.0,0.0,-1.052300911210333,-3.0652114378901745,-8.059960705926136,-0.531614540353718,-2.838564354531682,-7.632477732326446,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927842408064864,-0.049542294016325476,-0.13321186651424693,-0.00927842408064864,-0.049542294016325476,-0.13321186651424693,0.12,1.0,18.09031439496547,0.8504180126570888,0.9027150009262598,0.10168664295078104,-0.22387914379646656,-0.1514258947387034,18.132776402907634,0.28877646368611043,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,997.8181830803326,0.0,1.0,87.65186576020321,4252.218387938243,1.0,1.0,0.5754682874801935,16.505494518287403,-1.3415524826432548,-45.13962758525823,1.0,1001.4976368236065,0.0,1.0,2.1826337349020433,10.021489306254335
0.15,12.679730928104858,0.24087674374111634,1001.9989857911722,85.57190273273322,1.6577222130838107,12.947569213552287,86.56175904390942,17.973390237075968,1.9091057563336769,10.203633672694165,-0.14378994204172246,5.578774757629034,-10.144345094926644,-9.334491661111063,1.8506110693067173,-5.826072423573705,4294.678758232389,0.26130672050531883,87.9104298919149,1.862170607704062,1.1114242598859365,89852.77313393023,281.63700659235735,-0.986646213276139,10.699637434693228,0.533663411275068,347.55,0.18652756306341,0.84,nominal,13572.722418396916,nan,altitude_hold,19.907233145759406,2.0,0.0,-1.9931833714889835,-2.819932157937107,-7.559669417893769,-1.4085558390348771,-2.8273850365749373,-7.588792743666841,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.024583937089349875,-0.04934717810985295,-0.13244941962844042,-0.024583937089349875,-0.04934717810985295,-0.13244941962844042,0.15,1.0,18.04374156113483,0.5803341519631879,1.2211741880278928,0.09830460926964679,-0.1767281244514284,-0.15963474837498146,18.09432683606839,0.2576429293897295,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,997.8181830803326,0.0,1.0,87.64992557180818,4318.10219528126,1.0,1.0,0.5754682874801935,16.505494518287403,-1.3415524826432548,-45.13962758525823,1.0,1001.4976368236065,0.0,1.0,2.1826337349020433,10.021489306254335
0.18,15.262821367285033,0.29104877429828024,1002.3825970992465,86.1030146393392,1.6724010185721299,12.787043602473846,87.06339379578966,17.967794410184066,2.125739069297753,10.470512514101348,-0.4443356871277459,5.423452970365722,-9.237423561348743,-9.53636812511515,2.1196837298675173,-5.71147970348624,4300.168147296768,0.2614797498581153,87.96825208538327,1.8928777459651822,1.111382382650336,89848.59209928157,281.6345131188549,-0.48955293109264586,10.972619275301097,0.39161876526319644,353.21999999999997,0.18957061092003358,0.84,nominal,13620.032565463698,nan,altitude_hold,19.907233145759406,2.0,0.0,-2.177631370449205,-2.4339723668550843,-7.357645753542058,-1.870001157883474,-2.591337434743026,-7.450104549591971,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03263767722117294,-0.0452273702664495,-0.13002885400818906,-0.03263767722117294,-0.0452273702664495,-0.13002885400818906,0.18,1.0,18.45868546331794,0.6984577376782742,1.3267998703782353,0.08947658552979672,-0.15757209110093728,-0.16657943223064578,18.519484607868097,0.2461376251089569,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,1004.6063379977566,0.0,1.0,88.05342617875351,4375.737307501982,1.0,1.0,-0.8490077355359309,16.08886042049869,-1.5469159065233653,-45.17663920553556,1.0,1002.4399543198505,0.0,1.0,1.9028314069510799,10.811689114636028
0.21,17.862060418663525,0.34155899020819064,1002.7616531614508,86.64130171261645,1.6836738636636803,12.6352020734769,87.5739587524363,17.962107291856466,2.3436178376029937,10.740564910805611,-0.7522795001842021,5.373421494310406,-9.388341379166542,-9.730831503378369,2.6433319434310016,-5.073032191383755,4443.0570319308345,0.26579467168119897,89.41950731557914,1.9192439682680664,1.1113410038775244,89844.46086765318,281.6320492544505,-1.4904419863887342,10.57392812004861,0.4037908551995014,358.89,0.1926136587766572,0.84,nominal,13668.331691762447,nan,altitude_hold,19.907233145759406,2.0,0.0,-1.9903639533116,-2.14269230442686,-6.698323352192435,-1.9422188351403498,-2.322150356553326,-6.999035831152249,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.033898113467448046,-0.04052916944821582,-0.12215621971866465,-0.033898113467448046,-0.04052916944821582,-0.12215621971866465,0.21,1.0,18.70854664463683,0.31540383644376563,1.9474616244156975,0.09532315733558357,-0.171120228764723,-0.17157348076281162,18.81227800967143,0.26039603744677536,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,1004.6063379977566,0.0,1.0,89.87697906080133,4487.610745435421,1.0,1.0,-0.8490077355359309,16.08886042049869,-1.5469159065233653,-45.17663920553556,1.0,1002.4399543198505,0.0,1.0,1.9028314069510799,10.811689114636028
0.24,20.47755080747296,0.3922340316926725,1003.136661374551,87.1830129603145,1.6891680494827297,12.500273770004219,88.09079340012107,17.956328882093167,2.5609347141530785,10.97440539575597,-1.0596552953081646,5.31391147050692,-8.218108348990079,-9.719770947819994,3.028865256375434,-4.649874733715787,4484.563073208702,0.26703935656247185,89.83785946840476,1.9493430620705243,1.1113000681385503,89840.37390381908,281.6296117010654,-1.4147806325057066,10.393301770532656,0.43752033163243265,364.56,0.19565670663328083,0.84,nominal,13717.404081200148,nan,altitude_hold,19.907233145759406,2.0,0.0,-2.2835622126894437,-1.852419908396495,-6.141181528419385,-2.147024861669806,-2.0403120876592276,-6.484323249512531,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.037472652958313916,-0.03561016369789268,-0.11317279046761146,-0.037472652958313916,-0.03561016369789268,-0.11317279046761146,0.24,1.0,18.9283402720273,0.3115121013943783,2.0325800955427984,0.08640149570571755,-0.15204460837986694,-0.1691159905983355,19.039708167084978,0.24327556324799363,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,997.0705012515608,0.0,1.0,90.16087181040267,4507.086230685041,1.0,1.0,-2.645742997227752,15.609116393118999,-1.6235389876204729,-45.38418225178571,1.0,1003.0546773875197,0.0,1.0,2.1817269898234573,11.072586807297247
0.27,23.10945689312681,0.4429303880401681,1003.5079973180653,87.73020285512845,1.689878544916519,12.3778647838133,88.6152115559452,17.950459180894168,2.778771861870959,11.163795224892208,-1.3647344715483345,5.3088018083997905,-6.771037465088774,-9.67526667762965,3.242273748048598,-4.414741382136837,4568.256222110853,0.2695257190213375,90.6739374286635,1.978971866517886,1.111259534399652,89836.32710993434,281.62719801743253,-1.6908356476192008,10.54570501827241,0.24464017610424385,370.22999999999996,0.1986997544899044,0.84,nominal,13767.379561451668,nan,altitude_hold,19.907233145759406,2.0,0.0,-2.697879191300416,-1.6149486479678972,-5.733827425476481,-2.4775374594481723,-1.7850940238444293,-6.034025755090901,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.043241186008866096,-0.031155768173759455,-0.10531361657647322,-0.043241186008866096,-0.031155768173759455,-0.10531361657647322,0.27,1.0,19.271166750731375,0.3903976344965289,2.3014262732644255,0.08404695156347067,-0.11079536879934915,-0.18340821546151417,19.412028259272308,0.23016967070679267,1.0,0.0,-5.12475906770303,4.333339046228245,1006.1844569493729,82.72589914784164,1.4631960598078957,14.027873835128696,1.0,997.0705012515608,0.0,1.0,90.58735406181258,4588.8090676777665,1.0,1.0,-2.645742997227752,15.609116393118999,-1.6235389876204729,-45.38418225178571,1.0,1003.0546773875197,0.0,1.0,2.1817269898234573,11.072586807297247
