index,real,imag,frequency_radps,natural_frequency_radps,damping_ratio,time_constant_s,period_s,dominant_state,mode,stable
0,0.0,0.0,0.0,0.0,,,,x,real_mode,True
1,0.0,0.0,0.0,0.0,,,,y,spiral,True
2,-2.0839275954303664,10.32061666353029,10.32061666353029,10.528906996385489,0.19792439957402666,0.4798631210569881,0.6087994072468871,q,short_period,True
3,-2.0839275954303664,-10.32061666353029,10.32061666353029,10.528906996385489,0.19792439957402666,0.4798631210569881,0.6087994072468871,q,short_period,True
4,-0.2188522019320669,5.276401740309122,5.276401740309122,5.28093851615673,0.041441914398832914,4.569293757027888,1.1908087398234162,vy,dutch_roll,True
5,-0.2188522019320669,-5.276401740309122,5.276401740309122,5.28093851615673,0.041441914398832914,4.569293757027888,1.1908087398234162,vy,dutch_roll,True
6,0.22063012435919982,0.0,0.0,0.22063012435919982,-1.0,,,z,unstable,False
7,-0.02677692380290732,0.0,0.0,0.02677692380290732,1.0,37.34558933507606,,x,real_mode,True
8,0.00019355361988894717,0.0,0.0,0.00019355361988894717,-1.0,,,x,unstable,False
9,2.835918746612301e-11,0.0,0.0,2.835918746612301e-11,-1.0,,,x,real_mode,True
10,-0.20970122336691469,0.0,0.0,0.20970122336691469,1.0,4.76868939505564,,y,spiral,True
11,0.22495360095068165,0.0,0.0,0.22495360095068165,-1.0,,,y,unstable,False
12,0.0021477253277577698,0.0,0.0,0.0021477253277577698,-1.0,,,y,unstable,False
13,0.0,0.0,0.0,0.0,,,,x,real_mode,True
