time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0
0.03,-1.4308105904702395,0.0013587238897430202,0.004243543127915629,-1.9384863542821438,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03383296938720469,0.0,0.0,-0.03383296938720469,0.0,0.0
0.06,-0.2979445928879962,0.002955588389132634,0.008995733151851095,-0.9541612974456553,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.016653256235527644,0.0,0.0,-0.016653256235527644,0.0,0.0
0.09,-0.7108983428571624,0.004765027467839829,0.014140197489579858,-0.8082035246925595,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.014105812532108455,0.0,0.0,-0.014105812532108455,0.0,0.0
0.12,-1.6634506215152252,0.006729960188598225,0.01955093787274041,-1.3213517827861587,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.023061939186715404,0.0,0.0,-0.023061939186715404,0.0,0.0
0.15,-2.3010375620298347,0.008792740814444137,0.02512415191829672,-1.9091632503323641,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03332118467637648,0.0,0.0,-0.03332118467637648,0.0,0.0
0.18,-2.465491550871256,0.010908891993928105,0.030760853236216024,-2.242960230655699,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0391470410162334,0.0,0.0,-0.0391470410162334,0.0,0.0
0.21,-2.4251884076906087,0.013037892599040712,0.036339041003482085,-2.3522971368766443,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04105533002373317,0.0,0.0,-0.04105533002373317,0.0,0.0
0.24,-2.4365304616027625,0.01513285558980894,0.04171762940594331,-2.402837131712315,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.041937419337556556,0.0,0.0,-0.041937419337556556,0.0,0.0
0.27,-2.5572767147013558,0.01714140559833937,0.04676208964709645,-2.4955008815057393,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04355470686869602,0.0,0.0,-0.04355470686869602,0.0,0.0
0.3,-2.7151677037776163,0.019012749302869104,0.0513594622120709,-2.6273009748688656,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0458550524523185,0.0,0.0,-0.0458550524523185,0.0,0.0
0.32999999999999996,-2.839138714904474,0.02070204979775017,0.05541292479459693,-2.7544036188902306,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.048073412078481606,0.0,0.0,-0.048073412078481606,0.0,0.0
0.36,-2.9165625185489885,0.022170178092050005,0.058831377678239344,-2.8516989586854855,0.0,0.035298826606943605,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.049771536104755466,0.0,0.0006160807463817441,-0.049771536104755466,0.0,0.0006160807463817441
0.39,-2.9718811589805574,0.02354122816788226,0.06339325607081596,-2.923808278862529,0.0,0.05215548428526702,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05103008116321965,0.0,0.0009102849237500709,-0.05103008116321965,0.0,0.0009102849237500709
0.42,-3.0268945976632224,0.02471562511802672,0.0682896071201211,-2.985660070142945,0.0,0.06183595798617946,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05210959856931924,0.0,0.0010792410629837138,-0.05210959856931924,0.0,0.0010792410629837138
0.44999999999999996,-3.085113386240341,0.025625457080630108,0.07315288213718582,-3.0453320598013827,0.0,0.06862611247678328,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05315107126007498,0.0,0.0011977516155638288,-0.05315107126007498,0.0,0.0011977516155638288
0.48,-3.140133526256564,0.026216081856602607,0.07778855197974857,-3.1022129396744913,0.0,0.07412357617856245,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0541438298952921,0.0,0.001293700457668751,-0.0541438298952921,0.0,0.001293700457668751
0.51,-3.187406983330673,0.026439225970596707,0.08206865299149345,-3.1533293658682005,0.0,0.07889062226632106,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05503597983422499,0.0,0.0013769011074944533,-0.05503597983422499,0.0,0.0013769011074944533
0.54,-3.2277001447034794,0.026250524171225285,0.08589077560571437,-3.197951833169368,0.0,0.08309071426995704,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.055814788808993876,0.0,0.0014502065418445869,-0.055814788808993876,0.0,0.0014502065418445869
0.57,-3.263961697385279,0.025609031439008053,0.08916414555946903,-3.2375577516989145,0.0,0.08673477304366423,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0565060424906111,0.0,0.0015138073655819643,-0.0565060424906111,0.0,0.0015138073655819643
0.6,-3.2979286553866856,0.02447765541112603,0.09180610135297701,-3.273780293911577,0.0,0.0897775700292519,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05713824511566469,0.0,0.0015669141914502274,-0.05713824511566469,0.0,0.0015669141914502274
0.63,-3.329642271804613,0.0228239135364724,0.09374159988033859,-3.3072974806473985,0.0,0.09215598793990391,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.057723230380210544,0.0,0.0016084254149795094,-0.057723230380210544,0.0,0.0016084254149795094
0.6599999999999999,-3.3587162951559484,0.02062072042761937,0.09490350664705849,-3.3381487693525287,0.0,0.09380449916419666,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.058261686946598404,0.0,0.0016371973635995005,-0.058261686946598404,0.0,0.0016371973635995005
0.69,-3.385239940385165,0.017847142744417815,0.09523351166009343,-3.3664034719721103,0.0,0.09466190666173473,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.058754824536481974,0.0,0.001652161947462825,-0.058754824536481974,0.0,0.001652161947462825
0.72,-3.4096880515559285,0.014489137752204135,0.0946836207531685,-3.3923742197224014,0.0,0.094674935116595,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05920809959392946,0.0,0.0016523893368965842,-0.05920809959392946,0.0,0.0016523893368965842
0.75,-3.432478653919443,0.010540261922816308,0.09321783253852009,-3.4164368802406266,0.0,0.09380067356975005,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.059628072246762136,0.0,0.0016371305943805614,-0.059628072246762136,0.0,0.0016371305943805614
0.78,-3.453800295937791,0.006002305410256062,0.09081365613132886,-3.438854929658925,0.0,0.09200846310669734,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.060019341020986244,0.0,0.0016058506209115993,-0.060019341020986244,0.0,0.0016058506209115993
0.8099999999999999,-3.473731108679457,0.0008858173670066664,0.0874634060547934,-3.459780637071244,0.0,0.08928142887555497,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.060384563513640195,0.0,0.001558254894763573,-0.060384563513640195,0.0,0.001558254894763573
0.84,-3.49237528036727,-0.0047894931224884,0.08317534268659549,-3.4793374230488596,0.0,0.08561777716217928,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06072589382005744,0.0,0.0014943121097188354,-0.06072589382005744,0.0,0.0014943121097188354
0.87,-3.509875548927439,-0.010994491956479037,0.07797466185153043,-3.4976602985760072,0.0,0.08103190797578996,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06104568832643926,0.0,0.0014142735933505885,-0.06104568832643926,0.0,0.0014142735933505885
0.8999999999999999,-3.5263612930117247,-0.017690508706872606,0.0719042601555052,-3.5148808952374377,0.0,0.07555531928361911,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.061346244437339166,0.0,0.0013186890888947167,-0.061346244437339166,0.0,0.0013186890888947167
0.9299999999999999,-3.5419236450822713,-0.024829398933643422,0.06502520906585553,-3.531106545144338,0.0,0.06923725315296096,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06162943545149049,0.0,0.0012084180325559939,-0.06162943545149049,0.0,0.0012084180325559939
0.96,-3.55663052918203,-0.03235379556836654,0.05741690830607264,-3.546420935566953,0.0,0.06214504624482798,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06189672198730101,0.0,0.0010846356707763863,-0.06189672198730101,0.0,0.0010846356707763863
0.99,-3.5705455983583847,-0.04019756038821153,0.049176898644973537,-3.560895733241812,0.0,0.024858018497931192,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06214935486528731,0.0,0.00043385426831055456,-0.06214935486528731,0.0,0.00043385426831055456
1.02,-3.5837352698979994,-0.048440433954266025,0.03840255007276105,-3.5745994552355245,0.0,0.009943207399172479,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06238852993385556,0.0,0.00017354170732422186,-0.06238852993385556,0.0,0.00017354170732422186
1.05,-3.5962485419274492,-0.05688530343118416,0.026565138199438405,-3.5875889072506792,0.0,0.003977282959668991,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06261523863954982,0.0,6.941668292968874e-05,-0.06261523863954982,0.0,6.941668292968874e-05
1.08,-3.6081272912157307,-0.0653719085789216,0.014483446744449598,-3.59991193762971,-0.03922314514735296,0.0015909131838675967,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06283031609348719,-0.0006845730258089455,2.77666731718755e-05,-0.06283031609348719,-0.0006845730258089455,2.77666731718755e-05
1.1099999999999999,-3.6194115963900018,-0.07592723327452165,0.0027107057082820032,-3.6116117328858848,-0.061245598023654174,0.0006363652735470387,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06303451604251666,-0.0010689373378656973,1.11066692687502e-05,-0.06303451604251666,-0.0010689373378656973,1.11066692687502e-05
1.14,-3.6301342615544634,-0.08786451331865613,-0.008327189392422673,-3.6227252500870315,-0.07721694720065535,0.0002545461094188155,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0632284835091537,-0.0013476899669900544,4.44266770750008e-06,-0.0632284835091537,-0.0013476899669900544,4.44266770750008e-06
1.17,-3.640324008668979,-0.10095195257426512,-0.01827559075966367,-3.6332845052362006,-0.09145795042482122,0.0001018184437675262,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06341277727806485,-0.0015962423620388768,1.7770670830000322e-06,-0.06341277727806485,-0.0015962423620388768,1.7770670830000322e-06
1.2,-3.650006334038666,-0.11515288134917678,-0.026835742319521242,-3.64331760251768,-0.10567490897943456,4.0727377507010486e-05,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06358788785979956,-0.0018443750984364537,7.108268332000129e-07,-0.06358788785979956,-0.0018443750984364537,7.108268332000129e-07
1.23,-3.659203175499047,-0.13052830892629913,-0.0337649749551277,-3.6528489463065,-0.1205869489475533,1.6290951002804194e-05,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06375424119105398,-0.002104639294069116,2.843307332800052e-07,-0.06375424119105398,-0.002104639294069116,2.843307332800052e-07
1.26,-3.667933007535026,-0.147202935711788,-0.03888231550855292,-3.6618993830436155,-0.13655654100609413,6.516380401121678e-06,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0639122011108601,-0.0023833612556909923,1.1373229331200208e-07,-0.0639122011108601,-0.0023833612556909923,1.1373229331200208e-07
1.29,-3.6762115211849764,-0.16535602160257637,-0.04207518517412212,-3.670486665928432,-0.15383622936398347,2.6065521604486715e-06,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0640620774710003,-0.002684948711254694,4.549291732480083e-08,-0.0640620774710003,-0.002684948711254694,4.549291732480083e-08
1.3199999999999998,-3.6840522230833495,-0.1852220579215413,-0.043305242608523406,-3.678626000221382,-0.17266772649851816,1.0426208641794686e-06,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06420413565333277,-0.003013620339332202,1.8197166929920333e-08,-0.06420413565333277,-0.003013620339332202,1.8197166929920333e-08
1.3499999999999999,-3.691466726405814,-0.2070953906421848,-0.042612427405694424,-3.686330435932041,-0.19332432498471816,4.1704834567178747e-07,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.064338603423492,-0.003374145995178868,7.2788667719681336e-09,-0.064338603423492,-0.003374145995178868,7.2788667719681336e-09
