time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.623294571949261,-0.06711018850271284,4455.9528551248095,0.2509446755827931,85.37569911866022,1.746019585183223,1.2226496753673843,101084.96761777384,288.02,0.0,0.1,0.0,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0
0.03,2.565307560933383,1.2217430333078664e-05,20.23295089077774,85.51025203111277,0.00040724767776928884,7.765029692591357,85.86209226845746,17.994738264341034,0.000673747383345809,6.26558332753372,-0.001374797989615718,0.01756243361475289,-8.852793703250093,-0.04551240426293013,1.0768886693990771,-0.06510171809935367,4506.77464880038,0.2523751634672366,85.86215002704955,1.7740898486319636,1.2226223199868234,101082.17454514118,288.0184858192099,0.0,0.1,0.0,332.605,0.1785066900092231,0.86,nominal,3884.5669122115964,nan,pitch_program,12.985,0.0,0.0
0.06,5.146108485643129,3.6098940456659304e-05,20.459341098330725,86.02669749032488,0.0007960503374526879,7.54634025176613,86.35704912119792,17.98938306364076,0.002022397038704582,6.6413094453780985,-0.004102114835030761,0.0347369605127723,-12.524250932173562,-0.09004031867784736,1.6281022265907827,-0.06179039098797758,4558.784275214783,0.25383063942811723,86.35710609851932,1.8027335809866907,1.222595735474737,101079.46019473652,288.0170142828608,0.0,0.1,0.0,338.40999999999997,0.18162219138624247,0.86,nominal,3929.40756384244,nan,pitch_program,12.97,0.0,0.0
0.09,7.742556495506167,7.044875175500658e-05,20.679790744388068,86.5482669954346,0.0011449937099449092,7.348321535244821,86.85965893675491,17.983934397899173,0.004034226049090082,6.946403417269074,-0.008125001204004946,0.05119766459307923,-10.169830117465175,-0.1326175712102903,2.0933801338739415,-0.05725980756043096,4611.906428476029,0.2553086003763345,86.8597151826475,1.832470918597925,1.222569848974904,101076.81712659281,288.01558136016143,0.0,0.1,0.0,344.215,0.18473769276326188,0.86,nominal,3975.099645208147,nan,pitch_program,12.955,0.0,0.0
0.12,10.354825623753607,0.00011340546015014869,20.894771506192217,87.07563760824799,0.0014318902798380706,7.166025393471604,87.37000965361696,17.978392267116273,0.006671241456401917,7.124625311412224,-0.013353436636079954,0.06655373705121903,-5.940750728924169,-0.1724141255374663,2.4199768720219916,-0.05161251876624575,4666.164420700599,0.2568093061018343,87.37006524259361,1.8626365447288498,1.2225446050676148,101074.23968121482,288.01418398520974,0.0,0.1,0.0,350.02,0.1878531941402813,0.86,nominal,4021.6670044277603,nan,pitch_program,12.94,0.0,0.0
0.15,12.983126430944463,0.00016245742434168705,21.104565812647063,87.61002690636187,0.0016350654730512787,6.993143548494902,87.8886845611922,17.972756671292064,0.009873459458741815,7.219372562589989,-0.019676020393481933,0.08042845031695302,-3.15827258370329,-0.20864791048899706,2.6556206237368767,-0.044969185585634744,4721.635302381637,0.2583344718667645,87.88873959093765,1.8931430126239395,1.2225199705592633,101071.72446854903,288.01282032221775,0.0,0.1,0.0,355.825,0.1909686955173007,0.86,nominal,4069.1755272749674,nan,pitch_program,12.925,0.0,0.0
0.18,15.627690810564658,0.0002144786875310444,21.309365893708843,88.15214598733982,0.0017340421063119114,6.8266693687260505,88.4160859790235,17.967027610426545,0.013569251781081726,7.289096585793309,-0.02696444091322019,0.09251555456864033,-2.3241836490020606,-0.24052728499616127,2.860834133834663,-0.03747200937900598,4778.378317962665,0.2598852807582241,88.41614056857297,1.92410225893718,1.2224959228501335,101069.26918026996,288.0114891216909,0.0,0.1,0.0,361.63,0.19408419689432013,0.86,nominal,4117.675622966578,nan,pitch_program,12.91,0.0,0.0
0.21,18.288753385172207,0.00026577215816503587,21.509365120757067,88.70208582025165,0.0017097823544663824,6.666640901607466,88.95225760315267,17.961205084519715,0.017679328380583472,7.358391035034792,-0.035068320768503795,0.10256763624115615,-2.309888233165226,-0.2672956964326553,3.060248507772063,-0.029284641627254467,4836.415017019124,0.26146186175714653,88.95231189092928,1.9554552694002552,1.2224724392085011,101066.87149463763,288.01018912671503,0.0,0.1,0.0,367.435,0.19719969827133954,0.86,nominal,4167.1868818102885,nan,pitch_program,12.895,0.0,0.0
0.24,20.966545392107886,0.00031212426954509446,21.70478022622484,89.25973356452263,0.0015450703793352862,6.513836848925791,89.49709553326987,17.955289093571576,0.022114910524347393,7.421470511135987,-0.043812036108617045,0.11036512627827874,-2.1027496634552136,-0.2883061105402308,3.247635197473654,-0.020587540478739105,4895.751183363066,0.2630639100748558,89.49714967459666,1.9870190524657336,1.2224494941616335,101064.52881011732,288.0089189285295,0.0,0.1,0.0,373.24,0.20031519964835895,0.86,nominal,4217.716237451125,nan,pitch_program,12.88,0.0,0.0
0.27,23.6612985275742,0.00034887841714299826,21.895828155436785,89.82510451554381,0.0012251382532634605,6.368264307064815,90.0505646457254,17.949279637582126,0.02677665610195274,7.466420495631576,-0.05300027622140289,0.11571174466711538,-1.4984623312569703,-0.30305413231738515,3.4111463781830027,-0.011572343977736273,4956.40017029701,0.2646913230781371,90.0506188095691,2.018632526223421,1.2224270622138187,101062.23852289171,288.0076771169896,0.0,0.1,0.0,379.045,0.20343070102537836,0.86,nominal,4269.276819687499,nan,pitch_program,12.865,0.0,0.0
