time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality
0.0,0.0,1.0,-3.5480593231251762,-2.5021430320107965,0.4715860666353989,0.004569755852035123,2.0133944395973026e-05,0.0001551406198653554,4.367131567894458,0.004572432890142664,1.0,0.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1.0,1200.4838225180154,0.0,1.0,48.58592398693941,1256.4165989432342,1.0,1.0,-5.076838378091929,25.380259330629187,2.105279526919706,-40.71696829171774,1.0,1199.8363803645034,0.0,1.0,-0.03722258901453194,-1.45053139681452,,,
0.04,0.04,1.0,-3.4305190585911833,-1.4529606440652536,-1.2429655362694265,-0.13168907272373917,0.3129052627455953,0.7653012895888104,3.927406137505185,0.8372202692093786,1.0,0.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1.0,1199.325770729789,0.0,1.0,48.61246247032485,1274.725643180314,1.0,1.0,-5.076838378091929,25.380259330629187,2.105279526919706,-40.71696829171774,1.0,1199.8363803645034,0.0,1.0,-0.03722258901453194,-1.45053139681452,,,
0.08,0.08,1.0,-3.402020093470381,-0.13963618109841047,-3.5297416007819358,0.018466792240083116,0.42513923960949385,1.445248429082688,4.904315930661339,1.5065946426419266,1.0,0.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1.0,1200.1352226429292,0.0,1.0,48.19859567775402,1227.2403795453233,1.0,1.0,-0.18182174475704405,26.65000808621142,-0.06463237666808938,-39.9221378860028,1.0,1199.9258365675264,0.0,1.0,-0.003203790620328046,-3.4322431017010517,,,
0.12,0.12,1.0,-3.310437801191546,1.9396077559198863,-3.9141112452374367,0.38336213704876276,0.34270894249686407,1.720710564916234,5.480998405626173,1.7959011096394641,1.0,0.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1.0,1200.0766985545417,0.0,1.0,48.04461064151342,1249.4187613131405,1.0,1.0,-0.18182174475704405,26.65000808621142,-0.06463237666808938,-39.9221378860028,1.0,1199.9258365675264,0.0,1.0,-0.003203790620328046,-3.4322431017010517,,,
0.16,0.16,1.0,-3.217379806607239,4.158163701917714,-4.437918714053808,0.9077926424286465,0.29613105295675485,1.473991117109912,6.880187548639867,1.7562547923042906,1.0,0.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1.0,1200.4941075815743,0.0,1.0,47.378881549876084,1225.6500158304414,1.0,1.0,8.867745558637456,27.257949135627833,-5.479405437325974,-39.138614359413076,1.0,1199.595638366196,0.0,1.0,4.105942395040241,-4.7075989994936895,,,
0.2,0.2,1.0,-3.3198124586721365,5.6722139863485115,-6.3239077635741685,1.4774404191179253,0.3140292274788021,0.7018764930430437,9.120689429526479,1.665555510705268,1.0,0.0,7.661472036511377,250.70102814930559,1199.3455503278221,47.37474474929302,-3.014787082604099,-3.4036596661639917,1.0,1199.981379466987,0.0,1.0,47.320828758427666,1218.5054210111953,1.0,1.0,8.867745558637456,27.257949135627833,-5.479405437325974,-39.138614359413076,1.0,1199.595638366196,0.0,1.0,4.105942395040241,-4.7075989994936895,,,
0.24,0.24,1.0,-3.4623325869916566,6.058886431261396,-8.552852263714444,1.9494718188731537,0.2610660311616684,-0.0653899844085186,11.038529502374539,1.9679613043116608,1.0,0.0,7.661472036511377,250.70102814930559,1199.3455503278221,47.37474474929302,-3.014787082604099,-3.4036596661639917,1.0,1199.480030130535,0.0,1.0,46.95721208977087,1198.4372204974084,1.0,1.0,8.504985215966988,28.014089694125996,-11.433390781826565,-37.274114647425314,1.0,1199.6296446420902,0.0,1.0,12.021326756129161,-6.338707294242956,,,
0.28,0.28,1.0,-3.584106366061123,5.492438966993198,-9.572030252289235,2.3007223970510995,0.09922518170693405,-0.8322332601515997,11.60329554049734,2.4486284700378476,1.0,0.0,7.661472036511377,250.70102814930559,1199.3455503278221,47.37474474929302,-3.014787082604099,-3.4036596661639917,1.0,1198.8442980671743,0.0,1.0,47.101417683100905,1205.9229999535592,1.0,1.0,8.504985215966988,28.014089694125996,-11.433390781826565,-37.274114647425314,1.0,1199.6296446420902,0.0,1.0,12.021326756129161,-6.338707294242956,,,
0.32,0.32,1.0,-3.344053498215561,3.8006014953681366,-8.820842727905763,2.497013621363514,-0.15605077456544594,-1.6020530966512918,10.170276886888097,2.9708589656877686,1.0,0.0,7.661472036511377,250.70102814930559,1199.3455503278221,47.37474474929302,-3.014787082604099,-3.4036596661639917,1.0,1199.7175196661933,0.0,1.0,46.71476412764354,1207.5084188346652,1.0,1.0,3.402677061965645,29.329650409211652,-15.660799743251197,-34.6124956914199,1.0,1198.9435076216962,0.0,1.0,22.218583200075976,-7.313151442377897,,,
0.36,0.36,1.0,-2.7891286866570524,1.4390712169634006,-4.944209648700262,2.5072080065231015,-0.5035517543512541,-2.070818213298328,5.856225221806842,3.290584207980682,1.0,0.0,7.661472036511377,250.70102814930559,1199.3455503278221,47.37474474929302,-3.014787082604099,-3.4036596661639917,1.0,1198.6603158245377,0.0,1.0,46.60977966024503,1194.7660712846327,1.0,1.0,3.402677061965645,29.329650409211652,-15.660799743251197,-34.6124956914199,1.0,1198.9435076216962,0.0,1.0,22.218583200075976,-7.313151442377897,,,
