time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality
0.0,0.0,1.0,15.863658976337863,1.058966646731392,-0.6930371942163254,-0.001279898773872129,0.002068087163747687,0.0005281361201269382,15.914062555771283,0.0024887854768139554,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1000.7418586383787,0.0,1.0,87.66706131630349,4205.12851111079,1.0,1.0,1.5022286437970536,17.21259347713176,-0.9087001158528836,-44.77701689197725,1.0,999.8945560890289,0.0,1.0,0.5051689769872049,8.977430989260586,,,
0.03,0.03,1.0,16.26062405098693,1.1337864606221544,-0.3297938859810175,0.029777496839869723,-0.1910417237957281,-0.05549231635105134,16.303439216099623,0.20115426101103817,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1000.7418586383787,0.0,1.0,87.968860584111,4283.4731383245935,1.0,1.0,1.5022286437970536,17.21259347713176,-0.9087001158528836,-44.77701689197725,1.0,999.8945560890289,0.0,1.0,0.5051689769872049,8.977430989260586,,,
0.06,0.06,1.0,16.41984636010121,1.1581761611636952,0.27392587877828284,0.05594665665763285,-0.3297888827267608,-0.1059146724737689,16.462920819122022,0.3508684274860849,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1001.128656765309,0.0,1.0,87.30170689219467,4350.617605288289,1.0,1.0,1.1099073732589775,16.573495389331764,-0.8330221361940959,-45.030349689990594,1.0,1001.3172281602725,0.0,1.0,0.21415119878309366,9.439327392274048,,,
0.09,0.09,1.0,16.663988249972572,1.0785112324864445,0.9366351632465766,0.08629847138961205,-0.3246397872916837,-0.15736275242818948,16.725100188126028,0.37094669901314525,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1001.128656765309,0.0,1.0,88.46327569493083,4407.5003500379835,1.0,1.0,1.1099073732589775,16.573495389331764,-0.8330221361940959,-45.030349689990594,1.0,1001.3172281602725,0.0,1.0,0.21415119878309366,9.439327392274048,,,
0.12,0.12,1.0,16.943457583982912,1.0299909216416343,1.2808247578295564,0.11705101084272503,-0.2399409411659845,-0.2177291460101187,17.022988816866484,0.34449756952584987,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1003.1250575477313,0.0,1.0,89.11005701791656,4499.53361005359,1.0,1.0,0.7721913433295448,15.705342753493118,-0.9486408035558926,-45.384304922719714,1.0,1001.7204037674416,0.0,1.0,1.1107229382211135,10.99020547001048,,,
0.15,0.15,1.0,17.129470046044975,1.1275020164973235,1.5027144641319798,0.14540106509714584,-0.16087280929877465,-0.26576085188841103,17.232183715834424,0.3430019838128029,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1003.1250575477313,0.0,1.0,89.28575672532395,4517.7713626919,1.0,1.0,0.7721913433295448,15.705342753493118,-0.9486408035558926,-45.384304922719714,1.0,1001.7204037674416,0.0,1.0,1.1107229382211135,10.99020547001048,,,
0.18,0.18,1.0,17.37332667551236,1.0171373020780758,1.743662930395931,0.18076800425272274,-0.10799011184931848,-0.31958312436302144,17.49020893186199,0.38271700902412364,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1003.0699288941952,0.0,1.0,89.87649530206477,4447.328970210463,1.0,1.0,0.05421760343074176,15.529662970507447,-1.1665818258578318,-45.46079025062465,1.0,1002.9075896667571,0.0,1.0,2.0372343202926384,11.767825445995577,,,
0.21,0.21,1.0,17.661020080924967,0.9865004803022962,1.8252542804243135,0.20532606830140868,-0.09582832408085869,-0.3764501245110567,17.78247358172307,0.43938201859503867,1.0,0.0,17.799191065992062,3.8870385253044066,1002.4450171062562,87.28266856172489,2.398629102080168,13.670335621470404,1.0,1003.0699288941952,0.0,1.0,90.36429544240309,4551.418509203064,1.0,1.0,0.05421760343074176,15.529662970507447,-1.1665818258578318,-45.46079025062465,1.0,1002.9075896667571,0.0,1.0,2.0372343202926384,11.767825445995577,,,
0.24,0.24,1.0,17.969180651367054,0.8724960160281782,2.0602554582376715,0.24176829154982715,-0.0918626823158248,-0.42635001534080796,18.10793624719966,0.49866320776881823,1.0,0.0,17.799191065992062,3.8870385253044066,1002.4450171062562,87.28266856172489,2.398629102080168,13.670335621470404,1.0,1003.9516420710755,0.0,1.0,90.44748609758969,4720.484514554963,1.0,1.0,-1.1235829480212394,15.150674815263095,-1.3413076082195077,-45.46067056409893,1.0,1003.4600044626316,0.0,1.0,2.836040683721936,11.818070489287336,,,
0.27,0.27,1.0,18.226367889105287,0.74550095421864,2.2358666638456643,0.2700016948766937,-0.09154845451025274,-0.472775523000436,18.37812171687427,0.5520857994078808,1.0,0.0,17.799191065992062,3.8870385253044066,1002.4450171062562,87.28266856172489,2.398629102080168,13.670335621470404,1.0,1003.9516420710755,0.0,1.0,90.36909357369413,4676.764865341217,1.0,1.0,-1.1235829480212394,15.150674815263095,-1.3413076082195077,-45.46067056409893,1.0,1003.4600044626316,0.0,1.0,2.836040683721936,11.818070489287336,,,
0.3,0.3,1.0,18.526707382330024,0.6293351343787204,2.407484357770155,0.30529015918102553,-0.07863286709005755,-0.511702618993697,18.69307171319773,0.6010197828396227,1.0,0.0,17.799191065992062,3.8870385253044066,1002.4450171062562,87.28266856172489,2.398629102080168,13.670335621470404,1.0,1004.141329081777,0.0,1.0,91.77074009394435,4684.455649506935,1.0,1.0,-1.8948918791539746,15.02635174662414,-1.8091595811162524,-45.52252791711975,1.0,1004.6043906175454,0.0,1.0,3.9640671972537724,12.111728027665793,,,
0.32999999999999996,0.32999999999999996,1.0,18.757422282374385,0.5261118397211265,2.609742398405672,0.3353098539310347,-0.07818349028621528,-0.5497312993533695,18.945406824168387,0.6486523396900149,1.0,0.0,17.799191065992062,3.8870385253044066,1002.4450171062562,87.28266856172489,2.398629102080168,13.670335621470404,1.0,1004.141329081777,0.0,1.0,92.14334694597544,4732.157351727331,1.0,1.0,-1.8948918791539746,15.02635174662414,-1.8091595811162524,-45.52252791711975,1.0,1004.6043906175454,0.0,1.0,3.9640671972537724,12.111728027665793,,,
0.36,0.36,1.0,18.971731061589484,0.3805176506317213,2.905232061768648,0.3632817084545066,-0.06552338868214848,-0.5845787327011681,19.196659774253696,0.6913748685687966,1.0,0.0,17.799191065992062,3.8870385253044066,1002.4450171062562,87.28266856172489,2.398629102080168,13.670335621470404,1.0,1004.271883439198,0.0,1.0,92.78178026842976,4882.224638913486,1.0,1.0,-6.960550161708979,14.816017620593064,-2.174674751372919,-45.568742093423026,1.0,1005.0853339234036,0.0,1.0,5.057428442900642,12.13311034165513,,,
0.39,0.39,1.0,19.214828437873262,0.15530107574434618,2.989815453756408,0.40230231356372903,-0.06716928797471047,-0.6102195201170318,19.44666415528769,0.7339800593187932,1.0,0.0,17.799191065992062,3.8870385253044066,1002.4450171062562,87.28266856172489,2.398629102080168,13.670335621470404,1.0,1004.271883439198,0.0,1.0,92.94261445942087,4836.510745681889,1.0,1.0,-6.960550161708979,14.816017620593064,-2.174674751372919,-45.568742093423026,1.0,1005.0853339234036,0.0,1.0,5.057428442900642,12.13311034165513,,,
0.42,0.42,1.0,19.406742571594023,0.0016594963175651856,3.145633153396176,0.4267805278785839,-0.0698349575337173,-0.6287698768194157,19.660027159945457,0.763131769922837,1.0,0.0,35.867808541854295,4.557226282882253,1000.9017344340022,90.9391091536512,2.533788418158694,12.99531991648301,1.0,1005.1387456132492,0.0,1.0,93.38931247043374,4931.643909187299,1.0,1.0,-6.628737583456688,14.784113175054308,-2.8160380124744298,-45.588849912221775,1.0,1005.8695929317555,0.0,1.0,6.725887136687618,12.067347870986595,,,
0.44999999999999996,0.44999999999999996,1.0,19.305118091375117,-0.21271967579888706,3.445641333170069,0.45919335381050047,-0.06984558080176888,-0.6442424596206818,19.611355852649783,0.7942199242775125,1.0,0.0,35.867808541854295,4.557226282882253,1000.9017344340022,90.9391091536512,2.533788418158694,12.99531991648301,1.0,1005.1387456132492,0.0,1.0,93.79851969299118,5023.637112985028,1.0,1.0,-6.628737583456688,14.784113175054308,-2.8160380124744298,-45.588849912221775,1.0,1005.8695929317555,0.0,1.0,6.725887136687618,12.067347870986595,,,
0.48,0.48,1.0,19.230993099380466,-0.430353220297231,3.623145310133504,0.4955917484435307,-0.07458241126420326,-0.6523704020596413,19.5740512265852,0.8226547627521259,1.0,0.0,35.867808541854295,4.557226282882253,1000.9017344340022,90.9391091536512,2.533788418158694,12.99531991648301,1.0,1007.54541137253,0.0,1.0,95.0849719596921,5005.4556516577495,1.0,1.0,-9.885327642878206,14.70705598353455,-3.481961784866421,-45.57178694972268,1.0,1006.8043343056936,0.0,1.0,9.926378828401274,11.948376473089512,,,
0.51,0.51,1.0,19.194437500937234,-0.5524694252867295,3.841332879118378,0.5232773443098837,-0.07516325168478251,-0.6503964432445141,19.582836662022643,0.8381433211909219,1.0,0.0,35.867808541854295,4.557226282882253,1000.9017344340022,90.9391091536512,2.533788418158694,12.99531991648301,1.0,1007.54541137253,0.0,1.0,95.91144044727052,5045.408020219241,1.0,1.0,-9.885327642878206,14.70705598353455,-3.481961784866421,-45.57178694972268,1.0,1006.8043343056936,0.0,1.0,9.926378828401274,11.948376473089512,,,
0.54,0.54,1.0,19.226250246364888,-0.7671382588388022,4.258625023341157,0.557839445859081,-0.0744064889534568,-0.6379419978946061,19.707183632712404,0.8507003971037683,1.0,0.0,35.867808541854295,4.557226282882253,1000.9017344340022,90.9391091536512,2.533788418158694,12.99531991648301,1.0,1006.2782660634545,0.0,1.0,95.80366415680439,5174.444923012335,1.0,1.0,-11.2002615690019,14.644152246581257,-4.35174931787237,-45.58029600336048,1.0,1007.0034507556047,0.0,1.0,11.75386497774482,11.03358735645765,,,
0.57,0.57,1.0,19.131127767160567,-1.0241492533074152,4.490434702144949,0.5899500570599592,-0.06943128508578181,-0.6107725440190727,19.677726879665236,0.8520005127353164,1.0,0.0,35.867808541854295,4.557226282882253,1000.9017344340022,90.9391091536512,2.533788418158694,12.99531991648301,1.0,1006.2782660634545,0.0,1.0,97.11117057401158,5226.540083703049,1.0,1.0,-11.2002615690019,14.644152246581257,-4.35174931787237,-45.58029600336048,1.0,1007.0034507556047,0.0,1.0,11.75386497774482,11.03358735645765,,,
0.6,0.6,1.0,19.092532001511398,-1.1381719394304923,4.809363435443923,0.6258350982073378,-0.06892496429981494,-0.5821910200786605,19.72182015551883,0.857535191529858,1.0,0.0,35.867808541854295,4.557226282882253,1000.9017344340022,90.9391091536512,2.533788418158694,12.99531991648301,1.0,1008.2038565720876,0.0,1.0,96.95818498137078,5270.6164468771,1.0,1.0,-14.08709345259977,14.636513481493381,-5.479184425309463,-45.41472309476543,1.0,1008.0098783758891,0.0,1.0,14.26616091193173,12.07889759551022,,,
0.63,0.63,1.0,19.017920073594627,-1.3927145931078229,5.172922570309611,0.6595799169908367,-0.06173186315747857,-0.5514135482158687,19.75803800436439,0.8619242373796823,1.0,0.0,57.61113940470964,3.070468029090274,1008.4746686438734,94.78773548504859,1.179899705808111,12.627206958536918,1.0,1008.2038565720876,0.0,1.0,97.4593077600116,5278.895853871519,1.0,1.0,-14.08709345259977,14.636513481493381,-5.479184425309463,-45.41472309476543,1.0,1008.0098783758891,0.0,1.0,14.26616091193173,12.07889759551022,,,
0.6599999999999999,0.6599999999999999,1.0,19.010109704509965,-1.5271128662200284,5.5111957721140215,0.7014516578037323,-0.05528294391211989,-0.5035300321131694,19.851690696820917,0.8652358784534333,1.0,0.0,57.61113940470964,3.070468029090274,1008.4746686438734,94.78773548504859,1.179899705808111,12.627206958536918,1.0,1009.9905541507937,0.0,1.0,97.8716048033575,5425.36912430079,1.0,1.0,-15.045355274365267,14.630198657988444,-6.901374850080185,-45.23526697258897,1.0,1008.4320999989427,0.0,1.0,17.04328988321019,10.986085686469226,,,
0.69,0.69,1.0,18.859133919679792,-1.7271541461349447,5.87880782508465,0.7390845294570164,-0.04596474048496826,-0.4492050690772813,19.82953290143781,0.8661084765404821,1.0,0.0,57.61113940470964,3.070468029090274,1008.4746686438734,94.78773548504859,1.179899705808111,12.627206958536918,1.0,1009.9905541507937,0.0,1.0,98.3343593167426,5497.801194977273,1.0,1.0,-15.045355274365267,14.630198657988444,-6.901374850080185,-45.23526697258897,1.0,1008.4320999989427,0.0,1.0,17.04328988321019,10.986085686469226,,,
0.72,0.72,1.0,18.811864769505554,-1.8756625820010882,6.160118929863593,0.7806621207139957,-0.026487919650180013,-0.3929086017463857,19.88344616654133,0.8743638407044103,1.0,0.0,57.61113940470964,3.070468029090274,1008.4746686438734,94.78773548504859,1.179899705808111,12.627206958536918,1.0,1007.943355329773,0.0,1.0,99.09238471483026,5409.933848375569,1.0,1.0,-17.330202046020005,14.791336479639364,-8.66243438236344,-44.87089315018407,1.0,1009.7992164553842,0.0,1.0,19.63183029897474,11.064458416557441,,,
0.75,0.75,1.0,18.819600935614446,-2.021912436256142,6.448281686563509,0.8320759287128876,-0.007568662092556824,-0.32996942866889023,19.996145778247808,0.8951466134915328,1.0,0.0,57.61113940470964,3.070468029090274,1008.4746686438734,94.78773548504859,1.179899705808111,12.627206958536918,1.0,1007.943355329773,0.0,1.0,99.84121873551716,5558.8340054729,1.0,1.0,-17.330202046020005,14.791336479639364,-8.66243438236344,-44.87089315018407,1.0,1009.7992164553842,0.0,1.0,19.63183029897474,11.064458416557441,,,
