fault_name,scenario,duration_s,final_altitude_m,final_speed_mps,max_qbar_pa,max_load_factor_g,event_count,run_dir
gps_dropout,nominal_ascent_gps_dropout,18.0,379.7412333511338,201.38018586107725,41665.284741628646,2.4204804114064187,2,outputs/fault_campaign_after_damping/gps_dropout
thrust_loss,nominal_ascent_thrust_loss,18.0,265.48172970065275,160.8995284260899,23845.736639996674,2.4204804114064187,2,outputs/fault_campaign_after_damping/thrust_loss
stuck_elevator,nominal_ascent_stuck_elevator,18.0,1469.3099393471794,120.60856992479937,26988.16961602509,3.6973590707268538,2,outputs/fault_campaign_after_damping/stuck_elevator
