time_s,x_m,y_m,altitude_m,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,elevator_deg,aileron_deg,rudder_deg,throttle,load_factor_g,alpha_deg,beta_deg,qbar_pa,mach,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,gps_x_m,gps_y_m,gps_z_m,baro_alt_m
0.0,0.0,0.0,15.0,82.24354077980836,19.0,0.0,4.0,2.0,0.0,0.0,0.0,-3.5999999999999996,0.0,-3.5999999999999996,0.84,1.958495805070618,7.800027317402871,-7.257580680886093,4503.373997341855,0.25237701264272355,0.07229813664471399,0.005115256982014089,0.01633763888820438,-0.0009479264593018258,-0.00254718387709966,0.0009404222404831703,2.272924789284928,1.648487871535938,16.157913020889676,14.539236441406034
0.03,2.46,0.06,15.18,82.79222466355665,18.993818866155493,-0.007915555287291766,3.780555913429797,1.8833308089062,0.0,-7.314543775289976,-3.880525802327233,-7.199999999999999,-0.021108147432778043,-7.199999999999999,0.84,1.9402319769495147,7.420039059838149,-7.189403778999662,4557.153102447997,0.2538816725974315,19.18145542571851,1.4027517038331236,-4.828806126156259,-0.0019564227448676985,-0.12700704966088358,-0.06683544769740157,2.9954505256823203,1.4783609496089247,15.53504023256273,15.921858638378797
0.06,4.936853958912028,0.1218072458691154,15.354561017545853,83.33884755603819,18.987637732310986,-0.02001987810101882,3.906510344979352,1.7067901016241427,-0.009014279442402632,4.199913956016804,-5.870439017250136,-10.31275094536503,-0.04019374945723058,-7.577372902530149,0.84,1.930854040242377,7.375681058077575,-7.059086603162927,4611.412421320283,0.25539075025327534,19.171977196230674,1.0771722949465352,-5.367731294020764,-0.002255953576802259,0.07224788772324246,-0.09885013955293218,6.148280214818694,-3.273549958299404,16.909018639510588,15.296526418501651
0.09,7.430525045867661,0.18512470131813782,15.523150965907808,83.88472698176855,18.98145659846648,-0.03737587295729115,4.68344918452206,1.486276312546753,-0.028033961897399897,25.902026038090227,-7.317022091718888,-6.712750945365031,-0.06630253105107836,-7.195494804183066,0.84,1.9513511654987605,7.976317501071217,-6.878111749128655,4666.217353519898,0.256905959862572,19.200377274335484,1.1051664062422621,-5.50514205027122,0.0018097919018536424,0.45317040163602473,-0.12706291642628095,6.1787070038789444,0.6848397920576427,19.796810633767947,16.241161128708935
0.12,9.940997008010555,0.24985716228797972,15.685394346409014,84.43539751893408,18.975275464621973,-0.06190255977106633,5.379634572404799,1.2287918876769648,-0.0647927060991612,23.213863325362855,-8.52980433691963,-3.2109896951202934,-0.1027803711273583,-6.787925132226257,0.84,1.9752544657449502,8.512195954385287,-6.652275156548106,4722.130913359865,0.2584425944173097,19.33344047612837,1.067741536195105,-4.536487886375565,0.0019985584416725355,0.4022691350326142,-0.1480908885428237,10.045472850990022,3.6815705263744727,15.263242280709088,15.045097651822866
0.15,12.468354212201799,0.31594712055354895,15.841920378114441,84.99106526543542,18.969094330777466,-0.09219340960537739,5.502365429359587,0.941720487418912,-0.10234890444522003,4.1038362580015315,-9.520447203835145,-6.810989695120293,-0.14267815932922914,-6.36454085088122,0.84,1.9618879029523606,8.490489369697885,-6.388209816020342,4779.203898781669,0.26000166230314714,19.302707001947304,1.1595034301396687,-3.8766923514535097,-0.001092278691216671,0.06621350194566733,-0.16440993080203192,12.19213497553522,-1.0880208518406578,16.633762113197733,15.29347100133036
0.18,15.012693864815986,0.38331903435647935,15.993346316525942,85.54542925273392,18.96291319693296,-0.12645490208164567,5.722966207201601,0.6307779959978377,-0.128342800201388,7.373036595288166,-10.301053661568833,-6.631328964136179,-0.1835573895420928,-5.92775361807454,0.84,1.9650925046183387,8.560579374484682,-6.092585922820673,4836.811036496841,0.2615658627565255,19.46915051721576,1.1621952880955868,-4.166046794717279,-0.0054908363021668755,0.12951434839788678,-0.17654056466275758,10.307587246334375,3.890744624290047,16.127512535016074,14.605263840794517
0.21,17.573988100132038,0.4518754839436939,16.139258183033824,86.10113945858241,18.956732063088452,-0.16496891991914683,5.978774373165672,0.30186799510977275,-0.16616334659277512,8.554662239953835,-10.884888581627095,-5.931653732952632,-0.22915894964831549,-5.485148258430221,0.84,1.971411098144566,8.67032034343473,-5.771295888379738,4895.243550095523,0.2631429248163132,19.45179614199186,1.0930558298719788,-4.079370888513885,-0.002232128810547309,0.15190896904146736,-0.18649933906968194,16.794148780497625,-1.1203855412027246,16.577924191327718,15.875993246368594
0.24,20.152260217483892,0.521507879962612,16.279721034956633,86.65866050969962,18.950550929243946,-0.20730915401506292,6.150743507595554,-0.03917095976784039,-0.2102827780890316,5.7690031936764115,-11.28570314864179,-6.358071267878497,-0.27787621084158975,-5.043557635271623,0.84,1.9716212469624528,8.702572511356463,-5.429888662223742,4954.569055550794,0.26473442434451055,19.477460547316383,1.0343409132295227,-3.7950330628722804,-0.005424580944314899,0.10192834170011138,-0.20047901729133066,18.048336331621552,-0.5382224143976153,17.498227734255956,15.671324857857979
0.27,22.747544317389867,0.592097246762569,16.414882713223253,87.2169253389421,18.94436979539944,-0.2528022495049926,6.323138388833563,-0.38744303902263477,-0.2552184415667048,5.792791001852543,-11.517238194235187,-6.081497684796661,-0.32862407532154203,-4.606342808493385,0.84,1.974981125835145,8.738279081854964,-5.073562028230187,5014.693080573106,0.2663375941373052,19.471010043387228,1.1388357560783624,-3.8398005851760915,-0.00516318910376492,0.09990081530862412,-0.20019928429495404,25.839688903805953,1.1285290028072925,20.837641631849014,15.47891173606167
0.3,25.359852227063325,0.6635150156175804,16.544727799268138,87.77635973655649,18.938188661554932,-0.30093862727136234,6.452925901901349,-0.7380584708027514,-0.30420950650535494,4.382326851547654,-11.593619247691617,-6.231627309765593,-0.3811659235486453,-4.179355350289719,0.84,1.975711991695132,8.736412468537875,-4.70703136143642,5075.675530122978,0.26795380416852643,19.468117345849166,1.0311831238898765,-3.5898411896966715,-0.007616400687003794,0.07149829494150062,-0.2075461645195527,26.04157722592005,-1.7550509968842296,14.014893874754623,18.403131662595406
0.32999999999999996,27.98920467964511,0.7356264380376527,16.66933124464566,88.33646777420131,18.932007527710425,-0.3511503840590394,6.576160573459118,-1.0868769154382192,-0.3545425020881826,4.173495516559035,-11.528684200527753,-6.091713151512556,-0.43483664537183453,-3.765565182446225,0.84,1.9777230999101099,8.731711106175549,-4.334646777101488,5137.477458150353,0.26958179744329713,19.4352475984265,1.0599395977972579,-3.636757072954454,-0.0071243978519654055,0.07693863316981008,-0.20290522879155767,27.21437858185863,-2.5803128149975505,19.154375726666185,17.809888873544324
