time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,14500.0,168.0,0.0,10.0,168.2973558912914,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5935562450052811,0.0,2967.811486241532,0.5703651498833013,168.29735589129137,2.248005065083861,0.20956160755836276,13032.637272130847,216.64999999999998,0.0,0.0,0.0,478.40000000000003,0.23796694453104436,0.92,nominal,156358.425,nan,pitch_program,6.000000000000001,0.0,0.0,-13.62160000000002,-0.0,0.0,-4.8,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.08377580409572781,0.0,0.0,-0.08377580409572781,0.0,0.0,0.0,1.0,22.039952029066992,0.06421624096399967,-0.05549153272046388,8.96710374289511e-06,-0.00392686140635816,-0.00033643320647488983,22.040115437070227,0.003941257187258108,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14497.48871022862,0.0,1.0,167.72453538558904,3025.811276576433,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.04,6.737639783316654,0.0,14500.393475421926,168.8829682267017,0.0,9.676405761284657,169.15995325584055,20.990437389859768,0.0,4.339834280684275,0.0,0.0,-16.592933380646375,0.0,1.0605710608507573,0.0,2998.126078763367,0.5732885200843033,169.15995325584055,2.2666847775448655,0.20954860538516928,13031.828666924224,216.64999999999998,0.0,0.0,0.0,482.816,0.24016356248056167,0.92,nominal,156507.82856850553,nan,pitch_program,6.0200000000000005,0.0,0.0,2.71442065694904,-0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,22.248739461321012,0.004457972158902777,0.5076767054307417,-8.975239615825204e-05,-0.2906811470180924,0.006616684680462875,22.254531294289162,0.29075645788770904,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.748873000204,0.0,1.0,169.44442580350932,3009.2588409429563,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.08,13.510675514767513,0.0,14500.774698748812,169.76952556188797,0.0,9.388687183729164,170.02893652711722,20.980786915001556,0.0,4.893138383003395,0.0,0.0,-10.719915119638541,0.0,1.7277601779105574,0.0,3028.8261670827283,0.5762335323285119,170.0289365271172,2.2852386961973252,0.20953600884496712,13031.04528803507,216.64999999999998,0.0,0.0,0.0,487.232,0.242360180430079,0.92,nominal,156658.94182775624,nan,pitch_program,6.04,0.0,0.0,3.759038024071299,-0.0,0.0,3.007230419257039,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.05248607218216482,0.0,0.0,0.05248607218216482,0.0,0.0,0.08,1.0,22.360464694871194,-0.02338347405040481,1.170651766632787,0.00032815998591068275,-0.18980164256587734,0.0015816988868904915,22.391099877320904,0.18980851661885514,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14495.271480794654,0.0,1.0,169.86129745773104,3039.888398988207,1.0,1.0,-0.7490479202685634,20.365337779118892,-0.015398035674553966,-43.40303184935918,0.0,0.0,1.0,-0.0923479037681312,5.343911874831486
0.12,20.31925790435661,0.0,14501.1449671915,170.6608678452441,0.0,9.125504531694029,170.90467122536424,20.97104857542536,0.0,4.92994566626984,0.0,0.0,8.817131518609195,0.0,1.8691653003875734,0.0,3059.927811250982,0.5792014253757819,170.90467122536424,2.3048595607851876,0.2095237750055052,13030.284465506506,216.64999999999998,0.0,0.0,0.0,491.648,0.24455679837959635,0.92,nominal,156811.8566158334,nan,pitch_program,6.06,0.0,0.0,-1.4142637236705031,-0.0,0.0,-0.5299648950849943,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.009249632339219466,0.0,0.0,-0.009249632339219466,0.0,0.0,0.12,1.0,22.549879694155287,-0.04084592173786858,1.0549758776783675,-0.00237234848955191,0.156064138125723,0.0011583307911810347,22.574581207913532,0.156086466346389,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14505.84317004272,0.0,1.0,171.10276394523004,3008.9034299628483,1.0,1.0,-0.7490479202685634,20.365337779118892,-0.015398035674553966,-43.40303184935918,0.0,0.0,1.0,-0.0923479037681312,5.343911874831486
0.16,27.163692797686785,0.0,14501.504449721335,171.56267807677992,0.0,8.846537963990034,171.79061017071083,20.961222371131186,0.0,4.502823717341356,0.0,0.0,12.320329032864672,0.0,1.5510117476815368,0.0,3091.559009790731,0.5822039009445393,171.79061017071083,2.3275325632980026,0.20951189822092983,13029.545848222864,216.64999999999998,0.0,0.0,0.0,496.0640000000001,0.2467534163291137,0.92,nominal,156967.18548327227,nan,pitch_program,6.08,0.0,0.0,-4.915791208740608,-0.0,0.0,-4.038625946009485,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.07048732001433626,0.0,0.0,-0.07048732001433626,0.0,0.0,0.16,1.0,22.800142174432178,0.03319989188614972,0.5554250967856029,0.0022162629116312224,0.21576722143401839,-0.0002460041148525029,22.80693057921827,0.21577874358859986,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.353125689991,0.0,1.0,171.94758072700148,3077.230815769545,1.0,1.0,-0.7611812131334899,20.74691153870059,0.00853686375760408,-43.32797582763432,0.0,0.0,1.0,0.21453848142004184,4.721314614708386
0.2,34.04443017990512,0.0,14501.852325191243,172.47576381392398,0.0,8.546286162551166,172.6873710216491,20.95130830211903,0.0,4.257118421613372,0.0,0.0,-0.0191146292039504,0.0,1.4203954382196167,0.0,3123.748266617001,0.5852430522992716,172.6873710216491,2.3502412765398244,0.20950040555785907,13028.831119457242,216.64999999999998,0.0,0.0,0.0,500.48,0.24895003427863102,0.92,nominal,157125.05416002104,nan,pitch_program,6.1,0.0,0.0,-2.698262030900808,-0.0,0.0,-2.9663348139225434,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05177230921948171,0.0,0.0,-0.05177230921948171,0.0,0.0,0.2,1.0,23.036250347981216,0.0045659909310376305,0.5367185973271995,0.002825913862601225,-0.005435575370453801,-0.0017066103174499042,23.04250242043721,0.00635954302936557,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14502.950475743344,0.0,1.0,172.13133248791945,3104.1656611054354,1.0,1.0,-0.7611812131334899,20.74691153870059,0.00853686375760408,-43.32797582763432,0.0,0.0,1.0,0.21453848142004184,4.721314614708386
0.24,40.961856419183974,0.0,14502.188247922433,173.3967014152379,0.0,8.251351503075727,173.59291708855082,20.941306368388897,0.0,4.400900723895174,0.0,0.0,-6.956006149153922,0.0,1.6764472654330993,0.0,3156.4278720003067,0.5883119770333491,173.59291708855082,2.3709210593664185,0.2094893083723267,13028.140985441427,216.64999999999998,0.0,0.0,0.0,504.89599999999996,0.2511466522281483,0.92,nominal,157285.13481314474,nan,pitch_program,6.12,0.0,0.0,0.49766741851208623,-0.0,0.0,-0.19513302797483995,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034057138175471596,0.0,0.0,-0.0034057138175471596,0.0,0.0,0.24,1.0,23.23847328590801,0.0030382783380873196,0.961398959846679,0.001759196210680961,-0.11959822139358016,0.005552013942351433,23.258352002044123,0.11973994400629871,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14503.558879301383,0.0,1.0,174.4094757138865,3205.2199332196724,1.0,1.0,-1.1114201617609234,20.707155497212273,0.06279654633319463,-43.325846976118406,0.0,0.0,1.0,0.08449078060680751,4.683470146352719
0.28,47.91623902117008,0.0,14502.512753799238,174.3235667357247,0.0,7.97549407194771,174.50591515807236,20.93121656994078,0.0,4.554324229034699,0.0,0.0,-0.6010949668475782,0.0,1.9348062476998797,0.0,3189.5539272607853,0.5914061568438873,174.50591515807233,2.391113625559869,0.2094785889000232,13027.474341412933,216.64999999999998,0.0,0.0,0.0,509.31200000000007,0.2533432701776657,0.92,nominal,157447.22390962346,nan,pitch_program,6.14,0.0,0.0,-0.004117559596300671,-0.0,0.0,-0.03902660559496801,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006811427635094324,0.0,0.0,-0.0006811427635094324,0.0,0.0,0.28,1.0,23.39918311588965,0.03414839186664129,1.1074124143915756,0.002028252075046659,-0.005958240601299722,0.0032549845405176157,23.425398584851248,0.0070858564691867855,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14499.834632360597,0.0,1.0,173.97969110721803,3237.8252040304637,1.0,1.0,-1.1114201617609234,20.707155497212273,0.06279654633319463,-43.325846976118406,0.0,0.0,1.0,0.08449078060680751,4.683470146352719
0.32,54.907843919613356,0.0,14502.826355635454,175.25814061776651,0.0,7.704378492740296,175.4274017956038,20.921038906774683,0.0,4.432959828767437,0.0,0.0,6.602060380938517,0.0,1.9158479496471412,0.0,3223.168648202386,0.5945291046843192,175.4274017956038,2.4122004638572694,0.20946823014440755,13026.830130356804,216.64999999999998,0.0,0.0,0.0,513.728,0.255539888127183,0.92,nominal,157611.52873087054,nan,pitch_program,6.16,0.0,0.0,-2.522403199453911,-0.0,0.0,-2.025727880682122,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03535562126734987,0.0,0.0,-0.03535562126734987,0.0,0.0,0.32,1.0,23.63499812208884,-0.03823278540144194,1.043623924872261,-0.0007698503487642755,0.11358316320041716,0.0016271624951772715,23.65805885683752,0.11359742642312722,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14506.30396313003,0.0,1.0,174.83188302375,3271.297934367766,1.0,1.0,0.5599854402746506,20.68551946256616,0.0012030225546295838,-43.28244770417962,0.0,0.0,1.0,-0.14368028964104557,4.026969410342818
0.36,61.93702537111638,0.0,14503.128917672828,176.20250476829096,0.0,7.422855893675639,176.3587862178629,20.910773378890607,0.0,4.211270686172317,0.0,0.0,4.425926182122999,0.0,1.7990064874956144,0.0,3257.3291772061266,0.5976855964354073,176.35878621786293,2.4343486663731153,0.2094582365360017,13026.208627807217,216.64999999999998,0.0,0.0,0.0,518.1440000000001,0.2577365060767004,0.92,nominal,157778.31993861517,nan,pitch_program,6.18,0.0,0.0,-3.06874032242593,-0.0,0.0,-2.8601378340771686,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04991882226550586,0.0,0.0,-0.04991882226550586,0.0,0.0,0.36,1.0,23.846730285927308,0.017078488452456634,0.9169859327418528,0.002625691012318353,0.0775006343540149,-0.004200281309021834,23.86436046084992,0.0776587724706089,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14500.867696043138,0.0,1.0,176.75691970467687,3277.516904225263,1.0,1.0,0.5599854402746506,20.68551946256616,0.0012030225546295838,-43.28244770417962,0.0,0.0,1.0,-0.14368028964104557,4.026969410342818
