time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,22.039952029066992,0.06421624096399967,-0.05549153272046388,8.96710374289511e-06,-0.00392686140635816,-0.00033643320647488983,22.040115437070227,0.003941257187258108,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14497.48871022862,0.0,1.0,167.72453538558904,3025.811276576433,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.04,0.04,1.0,22.248739461321012,0.004457972158902777,0.5076767054307417,-8.975239615825204e-05,-0.2906811470180924,0.006616684680462875,22.254531294289162,0.29075645788770904,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.748873000204,0.0,1.0,169.44442580350932,3009.2588409429563,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.08,0.08,1.0,22.360464694871194,-0.02338347405040481,1.170651766632787,0.00032815998591068275,-0.18980164256587734,0.0015816988868904915,22.391099877320904,0.18980851661885514,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14495.271480794654,0.0,1.0,169.86129745773104,3039.888398988207,1.0,1.0,-0.7490479202685634,20.365337779118892,-0.015398035674553966,-43.40303184935918,0.0,0.0,1.0,-0.0923479037681312,5.343911874831486
0.12,0.12,1.0,22.549879694155287,-0.04084592173786858,1.0549758776783675,-0.00237234848955191,0.156064138125723,0.0011583307911810347,22.574581207913532,0.156086466346389,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14505.84317004272,0.0,1.0,171.10276394523004,3008.9034299628483,1.0,1.0,-0.7490479202685634,20.365337779118892,-0.015398035674553966,-43.40303184935918,0.0,0.0,1.0,-0.0923479037681312,5.343911874831486
0.16,0.16,1.0,22.800142174432178,0.03319989188614972,0.5554250967856029,0.0022162629116312224,0.21576722143401839,-0.0002460041148525029,22.80693057921827,0.21577874358859986,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.353125689991,0.0,1.0,171.94758072700148,3077.230815769545,1.0,1.0,-0.7611812131334899,20.74691153870059,0.00853686375760408,-43.32797582763432,0.0,0.0,1.0,0.21453848142004184,4.721314614708386
0.2,0.2,1.0,23.036250347981216,0.0045659909310376305,0.5367185973271995,0.002825913862601225,-0.005435575370453801,-0.0017066103174499042,23.04250242043721,0.00635954302936557,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14502.950475743344,0.0,1.0,172.13133248791945,3104.1656611054354,1.0,1.0,-0.7611812131334899,20.74691153870059,0.00853686375760408,-43.32797582763432,0.0,0.0,1.0,0.21453848142004184,4.721314614708386
0.24,0.24,1.0,23.23847328590801,0.0030382783380873196,0.961398959846679,0.001759196210680961,-0.11959822139358016,0.005552013942351433,23.258352002044123,0.11973994400629871,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14503.558879301383,0.0,1.0,174.4094757138865,3205.2199332196724,1.0,1.0,-1.1114201617609234,20.707155497212273,0.06279654633319463,-43.325846976118406,0.0,0.0,1.0,0.08449078060680751,4.683470146352719
0.28,0.28,1.0,23.39918311588965,0.03414839186664129,1.1074124143915756,0.002028252075046659,-0.005958240601299722,0.0032549845405176157,23.425398584851248,0.0070858564691867855,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14499.834632360597,0.0,1.0,173.97969110721803,3237.8252040304637,1.0,1.0,-1.1114201617609234,20.707155497212273,0.06279654633319463,-43.325846976118406,0.0,0.0,1.0,0.08449078060680751,4.683470146352719
0.32,0.32,1.0,23.63499812208884,-0.03823278540144194,1.043623924872261,-0.0007698503487642755,0.11358316320041716,0.0016271624951772715,23.65805885683752,0.11359742642312722,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14506.30396313003,0.0,1.0,174.83188302375,3271.297934367766,1.0,1.0,0.5599854402746506,20.68551946256616,0.0012030225546295838,-43.28244770417962,0.0,0.0,1.0,-0.14368028964104557,4.026969410342818
0.36,0.36,1.0,23.846730285927308,0.017078488452456634,0.9169859327418528,0.002625691012318353,0.0775006343540149,-0.004200281309021834,23.86436046084992,0.0776587724706089,1.0,0.0,31.758533152959025,-3.6933226876318983,14498.3731517901,172.36062744457303,-0.1382751029959232,8.623457163023266,1.0,14500.867696043138,0.0,1.0,176.75691970467687,3277.516904225263,1.0,1.0,0.5599854402746506,20.68551946256616,0.0012030225546295838,-43.28244770417962,0.0,0.0,1.0,-0.14368028964104557,4.026969410342818
0.4,0.4,1.0,24.041090593273026,-0.04500358335360431,0.9429899675853048,0.002023840005181767,-0.0224151635560493,0.001732668162615753,24.059619538044277,0.022572940095892627,1.0,0.0,69.60389361730579,-10.023653412103453,14505.822476705116,177.2364476556169,-0.2762817506196476,7.21201753929058,1.0,14508.46425878976,0.0,1.0,176.82667438536745,3324.5253943955577,1.0,1.0,-1.1507104654202995,20.966148269947826,0.014704042995086555,-43.29060280314996,0.0,0.0,1.0,0.11869794040652398,4.660198003238279
0.44,0.44,1.0,24.216627556760105,0.07509587677116007,1.1815741253821879,0.000789607133830544,-0.030209561894424492,0.0023214080559461462,24.245552314338266,0.030308910317612413,1.0,0.0,69.60389361730579,-10.023653412103453,14505.822476705116,177.2364476556169,-0.2762817506196476,7.21201753929058,1.0,14503.256559385483,0.0,1.0,178.73875073159743,3309.8266231271027,1.0,1.0,-1.1507104654202995,20.966148269947826,0.014704042995086555,-43.29060280314996,0.0,0.0,1.0,0.11869794040652398,4.660198003238279
0.48,0.48,1.0,24.440061246053627,-0.015786655920125812,1.182678939442914,-0.0003283581531905378,0.0441305204543986,0.0028070631184894685,24.46866511281642,0.04422092556702137,1.0,0.0,69.60389361730579,-10.023653412103453,14505.822476705116,177.2364476556169,-0.2762817506196476,7.21201753929058,1.0,14505.753271987976,0.0,1.0,179.61125481109607,3347.9935955277597,1.0,1.0,-0.016169170088370554,20.86797514014889,-0.0568923487975029,-43.24359933503376,0.0,0.0,1.0,-0.18039758799319058,3.445130840543901
