time_s,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,gps_valid,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_alt_m,pitot_airspeed_mps,pitot_qbar_pa,mag_heading_deg
0.0,-3.5480593231251762,-2.5021430320107965,0.4715860666353989,0.004569755852035123,2.0133944395973026e-05,0.0001551406198653554,1.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1200.4838225180154,48.58592398693941,1256.4165989432342,-5.076838378091929
0.04,-3.400387514575241,-1.5784818928556867,-1.2793932109724298,-0.1301909659560098,0.31159627772722703,0.7693969300473913,1.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1200.4693773417578,48.29432348192244,1287.8682007251311,-5.076838378091929
0.08,-3.3473586806212383,-0.14882427810936236,-3.525457987959906,0.01814905034832734,0.4254827089865036,1.4469708355405675,1.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1200.168084744888,47.95774211925699,1252.4400619568553,0.12182220077734467
0.12,-3.3282160436503316,1.909609135211443,-3.9327795519958775,0.3826764402001542,0.3419659341730801,1.715653803313857,1.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1199.7575761512376,48.030407626722244,1230.9988920354435,0.12182220077734467
0.16,-3.228914054095649,4.137181474155366,-4.395614411882312,0.9052027242956943,0.30368828204736903,1.4704654245641768,1.0,0.2136181609379939,248.1775623292204,1199.432023011328,47.965355097651184,-2.8354432490463894,-0.9400489124326931,1200.2327943990272,47.86491381687995,1255.4870673068795,7.429675602659168
0.2,-3.3762522167657587,5.72008605374022,-6.368845128478458,1.4795605771405445,0.31504221130071025,0.7005865664503896,1.0,11.666382613728947,246.94943965340295,1200.6861421415742,47.01801336048355,-2.8943652568179297,-3.4548008374779737,1200.705011833105,47.782401454510854,1224.5377924515226,7.429675602659168
0.24,-3.4707262450353715,6.1455872315171955,-8.420450035814733,1.9533207094206009,0.26104121517094414,-0.06813067983996768,1.0,11.666382613728947,246.94943965340295,1200.6861421415742,47.01801336048355,-2.8943652568179297,-3.4548008374779737,1198.504991407649,47.64819905288146,1217.734810849834,9.927346536311983
0.28,-3.5772348788823902,5.469727251662309,-9.562503968330724,2.3053739014572314,0.10055029929324827,-0.8330673632623178,1.0,11.666382613728947,246.94943965340295,1200.6861421415742,47.01801336048355,-2.8943652568179297,-3.4548008374779737,1197.7231104721454,46.25536949793046,1195.4743545252252,9.927346536311983
0.32,-3.3681743581180577,3.788655722734522,-8.841784217751863,2.4981715191156626,-0.15298419322029533,-1.5992823678449117,1.0,11.666382613728947,246.94943965340295,1200.6861421415742,47.01801336048355,-2.8943652568179297,-3.4548008374779737,1198.6335757079962,46.90600664645445,1193.2492423637204,4.2221667812106976
0.36,-2.892213426807246,1.3811739250640018,-4.904865208848691,2.507985637054306,-0.500839392206449,-2.07383040307977,1.0,11.666382613728947,246.94943965340295,1200.6861421415742,47.01801336048355,-2.8943652568179297,-3.4548008374779737,1198.7291069336704,46.428055564186664,1194.038714002025,4.2221667812106976
0.4,-2.738057624308292,-0.9803812645995781,2.359486896809868,2.177924175537717,-0.7982612035002207,-1.9666791611438434,1.0,18.877183648899173,244.62376421889746,1200.698516308774,46.24152116381365,-1.7321058281761286,-6.356310298935737,1199.3102290404909,46.5657028173628,1206.5705783394772,-6.455438586534594
0.44,-3.690293005910519,-3.071803350058069,10.374725228963724,1.9024338731527668,-0.7904372964856244,-1.338153061903576,1.0,18.877183648899173,244.62376421889746,1200.698516308774,46.24152116381365,-1.7321058281761286,-6.356310298935737,1197.8869934585416,47.179275706096654,1178.9481663789616,-6.455438586534594
0.48,-4.143161422317774,-4.262651777113369,14.288195817177858,1.7431842117892131,-0.3998407300512653,-0.572042317206163,1.0,18.877183648899173,244.62376421889746,1200.698516308774,46.24152116381365,-1.7321058281761286,-6.356310298935737,1198.3642640198193,46.50816716153675,1174.7299225893005,-10.845656460981846
0.52,-3.9732601350267442,-4.4782897921537845,14.012859998155474,1.7201524589792858,0.14034642158297755,0.20126411604340316,1.0,18.877183648899173,244.62376421889746,1200.698516308774,46.24152116381365,-1.7321058281761286,-6.356310298935737,1197.9873265001486,46.65265744883338,1175.1438428358017,-10.845656460981846
0.56,-3.314172262803945,-3.5977492090932737,10.57766987831217,1.822422956393167,0.689080970179975,0.9646693801431596,1.0,18.877183648899173,244.62376421889746,1200.698516308774,46.24152116381365,-1.7321058281761286,-6.356310298935737,1197.4703042117155,46.08745034808415,1179.7724142480845,-7.7714222862618545
0.6,-2.2347162501275193,-1.609867383653913,4.736285463734579,2.0506085681203423,1.2590169259233657,1.73642235253861,1.0,27.6098430178792,249.4049805552377,1197.4715707485223,45.08943048641718,-3.716524267787107,-7.300988026010631,1197.5737233945788,45.94574001371216,1143.9974143013133,-7.7714222862618545
0.64,-3.476642080962551,1.2421400748091933,-4.887320599466848,2.390246559154854,1.932185850996939,2.1860656955656976,1.0,27.6098430178792,249.4049805552377,1197.4715707485223,45.08943048641718,-3.716524267787107,-7.300988026010631,1197.0810946605932,45.74927588059633,1165.6161654555426,1.2700656705190927
0.68,-6.993858841111091,4.378524939229904,-20.3182410823571,2.7600336472745868,2.573117457422518,1.8074660400146016,1.0,27.6098430178792,249.4049805552377,1197.4715707485223,45.08943048641718,-3.716524267787107,-7.300988026010631,1196.5069220156665,46.40323254386871,1160.235966095808,1.2700656705190927
0.72,-8.690898409664902,5.420071139834488,-28.40784589340221,2.968404275888588,2.5372635071524803,1.0390664308781412,1.0,27.6098430178792,249.4049805552377,1197.4715707485223,45.08943048641718,-3.716524267787107,-7.300988026010631,1197.7352081645918,46.21183330728937,1133.2981543491405,14.597247339570407
0.76,-8.807487570156436,4.49644797947845,-26.98974284496188,2.963342684401616,1.9498601843636698,0.2716604205366683,1.0,27.6098430178792,249.4049805552377,1197.4715707485223,45.08943048641718,-3.716524267787107,-7.300988026010631,1196.3294386869684,45.02336756319837,1106.793987875686,14.597247339570407
0.8,-8.89530368571027,2.8775450737195447,-24.954541727149945,2.8024260245236143,1.1857450731916113,0.03349069544528168,1.0,36.87647251026434,246.51880580700072,1196.2678321112232,43.3816582468206,-0.7750698165875374,-9.306208328886653,1194.5426555615516,43.81032400210221,1069.513230803501,25.268046165160037
0.84,-8.808179654984341,1.8513485395290274,-22.43260093711699,2.632980074633391,0.4301544347527628,0.3440075569280272,1.0,36.87647251026434,246.51880580700072,1196.2678321112232,43.3816582468206,-0.7750698165875374,-9.306208328886653,1194.495614001712,43.7387851018764,1051.8432680756898,25.268046165160037
0.88,-8.47286065881311,1.727047267974363,-20.295394261519785,2.5200822965254863,0.09058109646960118,0.8316681285391273,1.0,36.87647251026434,246.51880580700072,1196.2678321112232,43.3816582468206,-0.7750698165875374,-9.306208328886653,1194.1715369145822,43.23294744915285,1013.8483702326309,23.878110611457057
0.92,-8.341340140101801,2.104786903426124,-18.335297957761334,2.490265372756252,0.10255438499203691,1.1776785686226865,1.0,36.87647251026434,246.51880580700072,1196.2678321112232,43.3816582468206,-0.7750698165875374,-9.306208328886653,1195.0134457163624,42.779877017617714,1002.0850465151314,23.878110611457057
0.96,-8.251191411303068,2.489611038469845,-17.219167360880213,2.497760089735274,0.42444312493847536,1.271180639829223,1.0,36.87647251026434,246.51880580700072,1196.2678321112232,43.3816582468206,-0.7750698165875374,-9.306208328886653,1193.271694507627,41.59358596616785,965.8344435806542,26.660365238125674
1.0,-8.505496189887952,2.7109521983972735,-16.300412904962045,2.507681480132841,0.7893752599397179,1.1919322314178582,1.0,45.42695144761766,248.2623157653334,1193.0127143558764,40.34492629276108,2.14384527179075,-10.29896380533365,1193.8203807066407,41.12313480261391,940.8841674784758,26.660365238125674
1.04,-8.852506145080886,2.6749451481631565,-15.463472650189308,2.491154459880592,1.1193179085750677,1.070788509991709,1.0,45.42695144761766,248.2623157653334,1193.0127143558764,40.34492629276108,2.14384527179075,-10.29896380533365,1193.351183060997,40.307626564490505,928.3480221526875,25.495164355668354
1.08,-9.118729227442337,2.141502888115647,-15.717112721289535,2.4365391683903908,1.4177139340379448,1.0203489840840991,1.0,45.42695144761766,248.2623157653334,1193.0127143558764,40.34492629276108,2.14384527179075,-10.29896380533365,1192.1274387554179,40.359479161566526,887.0919552728973,25.495164355668354
1.12,-8.14674416674981,1.402447735948508,-15.98533588147709,2.3615034520759552,1.6737833045232973,1.0954069059514457,1.0,45.42695144761766,248.2623157653334,1193.0127143558764,40.34492629276108,2.14384527179075,-10.29896380533365,1191.373063892576,39.80682485352241,859.11255355581,29.258490458683536
1.16,-7.242670466469736,0.6900436137364466,-16.376955689483555,2.276263028757428,1.901651932237805,1.2753766525727304,1.0,45.42695144761766,248.2623157653334,1193.0127143558764,40.34492629276108,2.14384527179075,-10.29896380533365,1191.2588156678112,38.839151351268725,870.2312070053686,29.258490458683536
1.2,-6.2461309069025654,0.03744520721487492,-16.669657817986547,2.1920589602404186,2.1156198461860485,1.5277381125384282,1.0,54.64039319413689,248.31830739040566,1192.2972500220765,37.125638280852876,3.3377380161529597,-10.603407169172105,1191.0652971723505,38.80800921207745,834.4918981834287,32.530045562972084
