row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
0.0,0.0,0.0,0.0,1.0000000000331966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.9999999999976694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.00030112277116245423,-0.04818962223041012,0.0,-0.007154109873397374,0.8143977469998731,0.0,-10.277190909615541,0.0,0.0,0.0,0.0,-1.130860502254194
4.0,0.0,0.0,0.0,0.0,-0.2449987603333474,0.0,0.0,8.644951272035584,0.0,112.01395315223562,0.0,0.0,0.0,0.0
5.0,0.0,0.0,-5.969789995674546e-05,-0.14672841707863427,0.0,-0.9745455457998986,26.182169931896482,0.0,-330.4027167783108,0.0,0.0,0.0,0.0,0.1713738215336491
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025375564907084876,0.0,-0.032022386737030895,0.0,0.0,-0.03949778209595125,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03222347083005438,0.49843748375247693,0.0,0.039497782095951804,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020108410301450386,0.0,-0.0025375564280394336,0.0,0.0,0.4984374837524799,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03222347083005438,0.0,0.0,-0.039497782095951804,0.0,0.49843748375247693,0.0
10.0,0.0,0.0,0.0,0.0,-0.18242317227937183,0.0,0.0,4.329897095686587,0.0,53.911259931395676,-0.3283617101027697,0.0,0.011106477956678906,0.0
11.0,0.0,0.0,1.2647847699720494e-06,-0.3594741740764722,0.0,-2.2540821227039727,53.45908426346431,0.0,-674.6204389010826,0.0,0.0,-5.770124101316803,0.0,0.00048428850676213164
12.0,0.0,0.0,0.0,0.0,0.47233802716578727,0.0,0.0,-11.211158245156447,0.0,-139.58938351877825,-0.04234910936059246,0.0,-0.10580371808510423,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
