time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,16.91842950149934,0.03360019313667281,0.19252804635556503,0.0020496890485300055,0.0034670290373362495,0.0014289454661326477,16.91955829266283,0.004273570016576025,1.0,0.0,-0.6470631796003397,1.3313514358594836,21.640168148178226,85.17703608167885,0.05225276163995546,7.880257797746393,1.0,19.512552440544518,0.0,1.0,85.41832335897146,4436.473196535972,1.0,1.0,1.4356082144579825,19.448508450116893,0.02515073517330344,-43.862311760623584,1.0,19.865327484861723,1.0,0.014473502116766398,4.261962511288229,0.95,1.0,0.5447866360085145,6.047405196481685
0.03,0.03,1.0,17.230037847930703,-0.0016163759063853708,0.6392098659399584,-0.0021105250979690966,-0.15261394487601856,0.0005919929877585954,17.24189073467613,0.15262968565291335,1.0,0.0,-0.6470631796003397,1.3313514358594836,21.640168148178226,85.17703608167885,0.05225276163995546,7.880257797746393,1.0,19.512552440544518,0.0,1.0,85.62617868058982,4484.599534344628,1.0,1.0,1.4356082144579825,19.448508450116893,0.02515073517330344,-43.862311760623584,1.0,19.865327484861723,1.0,0.014473502116766398,4.261962511288229,0.95,1.0,0.5447866360085145,6.047405196481685
0.06,0.06,1.0,17.498407856113687,-0.07007731986236701,1.175357182759416,0.0009326160778534097,-0.21879882079677046,-0.0011897308595203064,17.537977444298544,0.21880404295698935,1.0,0.0,-0.6470631796003397,1.3313514358594836,21.640168148178226,85.17703608167885,0.05225276163995546,7.880257797746393,1.0,20.987700856098535,0.0,1.0,86.27170135189928,4533.105946304552,1.0,1.0,-0.1860659009684989,18.974750159330256,0.10596349990767918,-44.083772085827064,1.0,20.6027527978962,1.0,-0.016428768467397426,4.2248839949854595,0.9488517802693215,1.0,-0.025246987411663865,6.4702412864397365
0.09,0.09,1.0,17.755031359797805,-0.02196435665332064,1.578421864863689,-0.00022220417452295,-0.17670889740445775,-0.0037684916181763574,17.82506764654335,0.17674921591246343,1.0,0.0,-0.6470631796003397,1.3313514358594836,21.640168148178226,85.17703608167885,0.05225276163995546,7.880257797746393,1.0,20.987700856098535,0.0,1.0,86.95952149486621,4662.926587254203,1.0,1.0,-0.1860659009684989,18.974750159330256,0.10596349990767918,-44.083772085827064,1.0,20.6027527978962,1.0,-0.016428768467397426,4.2248839949854595,0.9488517802693215,1.0,-0.025246987411663865,6.4702412864397365
0.12,0.12,1.0,18.01759351304217,-0.004183726020221016,1.778918449882166,1.6112883147293734e-06,-0.10130329141958606,-0.0012905526276225012,18.105199373553273,0.1013115115923284,1.0,0.0,-0.6470631796003397,1.3313514358594836,21.640168148178226,85.17703608167885,0.05225276163995546,7.880257797746393,1.0,20.349884478756334,0.0,1.0,88.00193084740067,4587.78998858162,1.0,1.0,-0.5184851454225756,18.619457210579508,-0.016633890789648526,-44.21297215751445,1.0,20.85298417365836,1.0,0.005394144911624223,4.189489415031765,0.9477635982610787,1.0,0.18435028045357923,7.326135220795818
0.15,0.15,1.0,18.368130785263094,-0.00598832726180951,1.98250735787158,-0.0004697202894008365,-0.05346569361530918,-0.0036948701458046906,18.474809872597017,0.05359527121221373,1.0,0.0,-0.6470631796003397,1.3313514358594836,21.640168148178226,85.17703608167885,0.05225276163995546,7.880257797746393,1.0,20.349884478756334,0.0,1.0,87.89900233729367,4651.081810024774,1.0,1.0,-0.5184851454225756,18.619457210579508,-0.016633890789648526,-44.21297215751445,1.0,20.85298417365836,1.0,0.005394144911624223,4.189489415031765,0.9477635982610787,1.0,0.18435028045357923,7.326135220795818
0.18,0.18,1.0,18.557531878646916,0.03414216567189782,2.039361496736581,0.002947544280140692,-0.041720105428731634,-7.799038077289946e-05,18.669283607810048,0.04182417120239642,1.0,0.0,-0.6470631796003397,1.3313514358594836,21.640168148178226,85.17703608167885,0.05225276163995546,7.880257797746393,1.0,20.09605248988326,0.0,1.0,88.18680820097781,4784.439052222728,1.0,1.0,-1.0663968479720431,18.528311407157634,0.050319406766115064,-44.20446690487453,1.0,21.421915852741424,1.0,0.0054820180455927275,4.15986000212005,0.9467278372889392,1.0,0.5440663699802962,6.941721032606833
0.21,0.21,1.0,18.867791421727134,0.05059748149522134,2.25297661552539,0.0017357579311095077,-0.04175189451632929,0.0009609354194155189,19.001895086254894,0.04179900654535206,1.0,0.0,18.18663216074662,0.5405446002123574,20.859452118300215,88.7847264296618,-0.05866507085398046,6.672152407955734,1.0,20.09605248988326,0.0,1.0,89.0850119185263,4776.249758733493,1.0,1.0,-1.0663968479720431,18.528311407157634,0.050319406766115064,-44.20446690487453,1.0,21.421915852741424,1.0,0.0054820180455927275,4.15986000212005,0.9467278372889392,1.0,0.5440663699802962,6.941721032606833
0.24,0.24,1.0,19.277487352538746,0.008182701285868713,2.3630734909793003,-0.0035477899423726803,-0.03381453324499103,0.003279104514494998,19.42178421020223,0.034157898039381546,1.0,0.0,18.18663216074662,0.5405446002123574,20.859452118300215,88.7847264296618,-0.05866507085398046,6.672152407955734,1.0,22.855493966138855,0.0,1.0,89.66920972448325,4837.229701127414,1.0,1.0,-0.8956819503117156,18.41794405299292,0.018576909961339032,-44.27360559293205,1.0,21.78278769118029,1.0,-0.010356012571189472,4.1227533206463205,0.9457403956506348,1.0,0.30925341280238017,7.341913149029608
0.27,0.27,1.0,19.43194273752983,0.04716527903357265,2.6068842452295624,0.00018112037031823333,-0.026912591149339082,-0.0022644325505887537,19.606082438524293,0.027008295424483835,1.0,0.0,18.18663216074662,0.5405446002123574,20.859452118300215,88.7847264296618,-0.05866507085398046,6.672152407955734,1.0,22.855493966138855,0.0,1.0,89.74462284491655,4947.19325010424,1.0,1.0,-0.8956819503117156,18.41794405299292,0.018576909961339032,-44.27360559293205,1.0,21.78278769118029,1.0,-0.010356012571189472,4.1227533206463205,0.9457403956506348,1.0,0.30925341280238017,7.341913149029608
