time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
10.889999999999999,1914.709632346054,0.0,185.8291164510266,245.93318526766896,0.0,32.454470135318545,248.06536285355492,15.692629632899479,0.0,8.951511826833155,0.0,0.0,-16.20670329280646,0.0,1.4339360272958264,0.0,37023.22143293493,0.7305063904851713,248.06536285355494,1.64203999031373,1.203294532809623,99112.43031223668,286.9421107430683,0.0,0.0,0.0,375.7168,0.2016444802358872,0.86,nominal,32590.573228677393,nan,pitch_program,8.16625,0.0,0.0,5.095058576521088,-0.0,0.0,0.35270329422257435,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.006155833766814216,0.0,0.0,0.006155833766814216,0.0,0.0,10.889999999999999,1.0,10.212084424524237,0.01480568238974499,12.47830546834577,-0.0016822497682175608,-0.2826418482976467,-0.0009579703281363888,16.12436029314619,0.2826484779377773,1.0,0.0,1869.5805154292148,-2.7949424145226276,178.96508271546614,244.482402980142,0.0032512129771029275,32.16930428026894,1.0,185.79845515945286,0.0,1.0,247.78010386987492,36802.01064311446,1.0,1.0,0.34882033239971316,17.64626708360561,-0.032620790287019266,-44.65034383049319,1.0,184.75100045409843,1.0,-0.0063760482406285445,1.335569721160823,0.5378612941325824,1.0,0.429788244496745,8.540487708105704
10.92,1922.0949965630587,0.0,186.80640462569409,246.1788072334926,0.0,32.57627248891626,248.32482489710372,15.686580298492402,0.0,8.447716171554452,0.0,0.0,16.793296707193537,0.0,0.9096930064050329,0.0,37097.21483306165,0.7312785526113631,248.32482489710372,1.2346289923135447,1.2031811656258231,99100.89857325157,286.93575836993296,0.0,0.0,0.0,375.5104,0.2015337068535932,0.86,nominal,32664.554358011177,nan,pitch_program,8.155,0.0,0.0,-4.126126047287022,-0.0,0.0,-2.3345943106831832,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.040746357419748976,0.0,0.0,-0.040746357419748976,0.0,0.0,10.92,1.0,10.926130664136037,-0.04871067537352349,5.192914375592265,0.002314538810837595,0.29399651886073896,0.000417443485252181,12.0974817103355,0.2940059258776991,1.0,0.0,1922.4144022677344,1.8679302215928155,184.9268607791633,246.08209386742365,0.07531043830536054,32.439128072153565,1.0,186.7114878812853,0.0,1.0,247.73510220332756,37374.74104407962,1.0,1.0,-1.1231178253710292,17.61222394016518,-0.06636372949028446,-44.685240862776844,1.0,186.72504234294095,1.0,0.0033511263902683774,1.3363198170556114,0.5329839884357648,1.0,-0.9079029520415344,7.85377289906927
10.95,1929.4893763674856,0.0,187.78098777551904,246.47932681423205,0.0,32.48610499416464,248.61095222151596,15.680534287286793,0.0,8.933914352800075,0.0,0.0,-16.20670329280646,0.0,1.425577591240756,0.0,37179.25961862069,0.732129235524843,248.610952221516,1.6373651418880915,1.2030681203671756,99089.39983479261,286.9294235794591,0.0,0.0,0.0,375.304,0.20142293347129916,0.86,nominal,32745.20520601324,nan,pitch_program,8.14375,0.0,0.0,5.111964471046823,-0.0,0.0,0.36540568931681655,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.006377532384097918,0.0,0.0,0.006377532384097918,0.0,0.0,10.95,1.0,10.146452741408064,0.011687407660423888,12.409186919328539,0.0005235145798191304,-0.2851312265871355,-0.0004949763706503193,16.029303161022302,0.2851321368141571,1.0,0.0,1922.4144022677344,1.8679302215928155,184.9268607791633,246.08209386742365,0.07531043830536054,32.439128072153565,1.0,186.7114878812853,0.0,1.0,248.03376578761404,37701.0440337408,1.0,1.0,-1.1231178253710292,17.61222394016518,-0.06636372949028446,-44.685240862776844,1.0,186.72504234294095,1.0,0.0033511263902683774,1.3363198170556114,0.5329839884357648,1.0,-0.9079029520415344,7.85377289906927
10.98,1936.8910517446013,0.0,188.75922009323335,246.72251257052451,0.0,32.60774392381088,248.86796333179055,15.674491599282653,0.0,8.430118697521374,0.0,0.0,16.793296707193537,0.0,0.9013335755592761,0.0,37252.65672610335,0.7328942229212569,248.86796333179055,1.226059335347487,1.2029546600003889,99077.8591276349,286.92306506939394,0.0,0.0,0.0,375.09759999999994,0.20131216008900513,0.86,nominal,32818.72719218403,nan,pitch_program,8.1325,0.0,0.0,-4.113306312242593,-0.0,0.0,-2.32182151161883,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.040523430021380355,0.0,0.0,-0.040523430021380355,0.0,0.0,10.98,1.0,10.755848730606095,0.011175201364447196,5.223638166314207,-0.0005210233307688049,0.2922540713223448,-0.002532032566765658,11.957207136007169,0.2922655040519092,1.0,0.0,1922.4144022677344,1.8679302215928155,184.9268607791633,246.08209386742365,0.07531043830536054,32.439128072153565,1.0,188.93464770747067,0.0,1.0,248.913553493331,37456.656958615575,1.0,1.0,-0.07241705113724886,17.670941292031095,-0.09287473129834078,-44.69359834908454,1.0,188.91599287702036,1.0,0.007676319060443824,1.3050607209781544,0.5281019497669166,1.0,0.5113635355168319,8.594983812684694
11.01,1944.3016770789143,0.0,189.73470940279492,247.02084447709822,0.0,32.5163103187187,249.1517771217415,15.668452234479984,0.0,8.916316878766999,0.0,0.0,-16.20670329280646,0.0,1.417365845646769,0.0,37334.16097156335,0.7337381369673401,249.15177712174153,1.632768917407671,1.202841525933543,99066.35186498097,286.9167243888818,0.0,0.0,0.0,374.8912,0.20120138670671114,0.86,nominal,32898.9659094259,nan,pitch_program,8.12125,0.0,0.0,5.128909640841243,-0.0,0.0,0.37817848838117013,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.006600459782466539,0.0,0.0,0.006600459782466539,0.0,0.0,11.01,1.0,10.072603110064929,-0.002205124921662413,12.437812053522528,0.0024382071857095198,-0.2814446091521518,-0.0017156699114447957,16.004890095037073,0.2814603993430212,1.0,0.0,1922.4144022677344,1.8679302215928155,184.9268607791633,246.08209386742365,0.07531043830536054,32.439128072153565,1.0,188.93464770747067,0.0,1.0,249.54930562082407,36615.522932060165,1.0,1.0,-0.07241705113724886,17.670941292031095,-0.09287473129834078,-44.69359834908454,1.0,188.91599287702036,1.0,0.007676319060443824,1.3050607209781544,0.5281019497669166,1.0,0.5113635355168319,8.594983812684694
11.04,1951.7195250387958,0.0,190.71384340507817,247.2615986627152,0.0,32.63780007610837,249.406343477967,15.662416192878784,0.0,8.412521223488296,0.0,0.0,16.793296707193537,0.0,0.8931173737712375,0.0,37406.95940282704,0.7344959670586183,249.40634347796703,1.2175337998260642,1.2027279773528388,99054.80269637798,286.910360017867,0.0,0.0,0.0,374.6848,0.2010906133244171,0.86,nominal,32972.025995953234,nan,pitch_program,8.11,0.0,0.0,-4.100417788635292,-0.0,0.0,-2.308979277828707,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04029929075843185,0.0,0.0,-0.04029929075843185,0.0,0.0,11.04,1.0,10.779895629439862,-0.10954205432542839,5.221269601415141,0.00012620370524127255,0.2948839028040318,0.0009074257963548793,11.978305618656767,0.29488532598603273,1.0,0.0,1922.4144022677344,1.8679302215928155,184.9268607791633,246.08209386742365,0.07531043830536054,32.439128072153565,1.0,189.96795901168963,0.0,1.0,249.83422117253403,37654.45917676259,1.0,1.0,1.6501088378940718,17.628653695036142,-0.09231288971727185,-44.6889216161998,1.0,190.39428817928078,1.0,0.007872589957096828,1.29324439146167,0.5232153914873046,1.0,-0.38543603980284863,8.975275620251194
11.07,1959.1462574215502,0.0,191.69019696229944,247.55774609181427,0.0,32.545118574042014,249.68784991075884,15.656383474479052,0.0,8.89871940473392,0.0,0.0,-16.20670329280646,0.0,1.4092932230030817,0.0,37487.920744550895,0.7353331296787978,249.6878499107588,1.6282489465704733,1.202614759381499,99043.28740954553,286.904013719745,0.0,0.0,0.0,374.47839999999997,0.20097983994212307,0.86,nominal,33051.84986656915,nan,pitch_program,8.098749999999999,0.0,0.0,5.145892991628318,-0.0,0.0,0.39102072217129263,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.006824599045415047,0.0,0.0,0.006824599045415047,0.0,0.0,11.07,1.0,10.058518476928548,0.06639361237282948,12.49273890711818,-0.0002731492405301916,-0.28431714493138593,-0.00020312951048359444,16.03891291403196,0.28431734870394443,1.0,0.0,1922.4144022677344,1.8679302215928155,184.9268607791633,246.08209386742365,0.07531043830536054,32.439128072153565,1.0,189.96795901168963,0.0,1.0,249.58642495506442,36866.32322003742,1.0,1.0,1.6501088378940718,17.628653695036142,-0.09231288971727185,-44.6889216161998,1.0,190.39428817928078,1.0,0.007872589957096828,1.29324439146167,0.5232153914873046,1.0,-0.38543603980284863,8.975275620251194
11.1,1966.5801396389834,0.0,192.67019112685065,247.79607391443759,0.0,32.6664721517068,249.9399780952372,15.650354079280788,0.0,8.39492374945522,0.0,0.0,16.793296707193537,0.0,0.8850371710837118,0.0,37560.118296689165,0.7360838210820588,249.9399780952372,1.2090517424984464,1.2025011274445945,99031.73027481127,286.89764375767544,0.0,0.0,0.0,374.272,0.20086906655982906,0.86,nominal,33124.44545493796,nan,pitch_program,8.0875,0.0,0.0,-4.087461444944085,-0.0,0.0,-2.296068578097934,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04007395653939351,0.0,0.0,-0.04007395653939351,0.0,0.0,11.1,1.0,10.718723061816153,-0.04096224028524694,5.1738546122412306,0.00024354932243569768,0.2964314750229035,0.0018589184357805436,11.902162556848586,0.2964374036424513,1.0,0.0,1922.4144022677344,1.8679302215928155,184.9268607791633,246.08209386742365,0.07531043830536054,32.439128072153565,1.0,193.24074986554965,0.0,1.0,250.4280543513214,37347.39568210991,1.0,1.0,1.4249733055731222,17.60334933875555,0.01521740558270998,-44.62031371632108,1.0,192.7233202393155,1.0,0.0029632693946838044,1.3023617409986985,0.5183245221828734,1.0,-0.5640893966956199,8.08934582508676
11.129999999999999,1974.0228408564815,0.0,193.64736792154875,248.09004058327213,0.0,32.572559823270275,250.21918369711412,15.644328007283994,0.0,8.881121930700845,0.0,0.0,-16.20670329280646,0.0,1.4013528127393258,0.0,37640.53453366976,0.7369142507506492,250.2191836971141,1.6238030776289054,1.2023878303651307,99020.20745281354,286.8912921085099,0.0,0.0,0.0,374.0656,0.20075829317753505,0.86,nominal,33203.851905652926,nan,pitch_program,8.07625,0.0,0.0,5.162913438902588,-0.0,0.0,0.40393142190206577,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.007049933264453384,0.0,0.0,0.007049933264453384,0.0,0.0,11.129999999999999,1.0,9.949232981069377,-0.022102386412021297,12.407419179295864,-0.0030442752758491577,-0.28414919584271897,0.0013323129723823955,15.90382897662832,0.28416862629058015,1.0,0.0,1973.0499562153718,0.48256108686490506,192.42329339574076,247.95677062381878,0.1642781181772508,32.54439376722645,1.0,193.24074986554965,0.0,1.0,249.95668235552898,37536.86703945792,1.0,1.0,1.4249733055731222,17.60334933875555,0.01521740558270998,-44.62031371632108,1.0,192.7233202393155,1.0,0.0029632693946838044,1.3023617409986985,0.5183245221828734,1.0,-0.5640893966956199,8.08934582508676
11.16,1981.4726192897142,0.0,194.62818159385463,248.325947774422,0.0,32.693789076862835,250.4688806663761,15.638305258488668,0.0,8.377326275422144,0.0,0.0,16.793296707193537,0.0,0.8770863611888575,0.0,37712.12917662176,0.7376578231902396,250.46888066637612,1.2006126199386946,1.2022741198263955,99008.64283666517,286.8849168196399,0.0,0.0,0.0,373.85920000000004,0.20064751979524104,0.86,nominal,33275.98054816105,nan,pitch_program,8.065,0.0,0.0,-4.074438248834963,-0.0,0.0,-2.2830903805401515,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03984744426103592,0.0,0.0,-0.03984744426103592,0.0,0.0,11.16,1.0,10.548874529273707,0.08598189961453924,5.114384476967802,-0.00038618553994994754,0.295844990164339,0.0007276542731666707,11.72361187090694,0.29584613708032487,1.0,0.0,1973.0499562153718,0.48256108686490506,192.42329339574076,247.95677062381878,0.1642781181772508,32.54439376722645,1.0,194.43424370633844,0.0,1.0,250.60041472926582,37099.597420085185,1.0,1.0,-1.3259532525792936,17.73409237329506,-0.025478739604175495,-44.66079829424804,1.0,194.82691855288883,1.0,0.020119592457834807,1.2805704874140686,0.5134295460153634,1.0,0.020245411163723623,8.82239955599654
