time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,17.096536509746663,-0.04331266066330364,0.12548432820521357,0.0016677683591043149,0.0011681274632859406,0.0012765720485123657,17.097051878388257,0.00240324973008537,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.63642665807238,4466.505573608554,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.03,0.03,1.0,17.40254162842955,-0.024205067786461216,0.5883394915294113,0.001972178925766813,-0.15877170581150923,0.0016995476198838452,17.41250080751823,0.1587930493381997,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.45774571051679,4494.743988359959,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.06,0.06,1.0,17.702144194936395,-0.048625240197861,1.1866148792851143,-0.003446139225741984,-0.22420008488034746,-0.00034689119184351384,17.74193699639488,0.22422683663963416,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.52585165520112,0.0,1.0,85.94732710677027,4526.811613390563,1.0,1.0,0.07665381874344163,18.992075623679472,-0.026858555853548426,-44.04245503413943,1.0,20.444201535828316,1.0,0.00018197912592243334,4.219026884396885,0.9488519617660042,1.0,-0.15907090264631085,6.475597943176462
0.09,0.09,1.0,17.962778250861277,-0.01094183278357201,1.5303360812549847,0.0004011470069548937,-0.18192686083605222,0.0025448602353110453,18.0278520832325,0.18194510140753659,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.52585165520112,0.0,1.0,87.23931188542652,4644.882701449,1.0,1.0,0.07665381874344163,18.992075623679472,-0.026858555853548426,-44.04245503413943,1.0,20.444201535828316,1.0,0.00018197912592243334,4.219026884396885,0.9488519617660042,1.0,-0.15907090264631085,6.475597943176462
0.12,0.12,1.0,18.21940168689191,-0.01413003862604277,1.7400148654709107,0.0017811967641120853,-0.10431251693922641,-0.0028376729027249836,18.302307210250053,0.10436630797154674,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.834985370765775,0.0,1.0,87.27138095827415,4713.453406026995,1.0,1.0,-1.8951218293581098,18.627181571338284,-0.005790965511073151,-44.17207183255982,1.0,20.159302211127283,1.0,-0.013840283315854317,4.180370390516183,0.9477639745124905,1.0,0.28335723464815654,7.75158973543637
0.15,0.15,1.0,18.517733868852975,-0.03605765477427094,1.8824612759907382,-0.00013304420042076212,-0.05598823834639602,-0.0016289172586783655,18.613205748815464,0.05601208713597214,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.834985370765775,0.0,1.0,87.54587960764351,4740.429589841322,1.0,1.0,-1.8951218293581098,18.627181571338284,-0.005790965511073151,-44.17207183255982,1.0,20.159302211127283,1.0,-0.013840283315854317,4.180370390516183,0.9477639745124905,1.0,0.28335723464815654,7.75158973543637
0.18,0.18,1.0,18.726541086217058,-0.04780444576139571,2.042516914859756,0.00013974800767314763,-0.043933488635540315,-0.0008869940367906495,18.837661788722567,0.04394266391123894,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.08279459753335,0.0,1.0,88.0353903690645,4843.642367688118,1.0,1.0,-0.5428950996559269,18.527824954756106,0.02966309435753329,-44.306256282851265,1.0,21.362321228060193,1.0,0.006974051956994979,4.137727015407284,0.9467282814832425,1.0,-0.5040599611879599,6.954216382182611
0.21,0.21,1.0,19.01970148331745,0.06045326675660328,2.2179594355024164,-0.0011844703614280934,-0.03955173181893041,0.0010356537480328346,19.148682543963798,0.03958301452137657,1.0,0.0,18.158147900970494,-0.8507156713177079,22.529725592859048,88.78478587516788,-0.10696639449047544,6.7199992958234125,1.0,20.08279459753335,0.0,1.0,88.81421078457595,4833.888881531733,1.0,1.0,-0.5428950996559269,18.527824954756106,0.02966309435753329,-44.306256282851265,1.0,21.362321228060193,1.0,0.006974051956994979,4.137727015407284,0.9467282814832425,1.0,-0.5040599611879599,6.954216382182611
0.24,0.24,1.0,19.32056768893592,-0.05931437453800777,2.433917549789983,0.0004014737785476082,-0.037545018927224894,0.0011573760834501412,19.473361514051888,0.03756499895965763,1.0,0.0,18.158147900970494,-0.8507156713177079,22.529725592859048,88.78478587516788,-0.10696639449047544,6.7199992958234125,1.0,22.18756318799064,0.0,1.0,89.45878652241241,4891.296091138702,1.0,1.0,-0.9874075351661772,18.452711197336015,-0.01105574941250553,-44.37474280528169,1.0,21.60002106536209,1.0,0.015553992101837083,4.124627453577544,0.9457407187262019,1.0,-0.5929147826834491,7.404227691337363
0.27,0.27,1.0,19.53277524064824,-0.02835453910261265,2.591074404615516,0.0019072580176267414,-0.024721961336969935,-0.002090558849283284,19.703902637594975,0.024883396910284464,1.0,0.0,18.158147900970494,-0.8507156713177079,22.529725592859048,88.78478587516788,-0.10696639449047544,6.7199992958234125,1.0,22.18756318799064,0.0,1.0,90.12876823144643,4961.814250827634,1.0,1.0,-0.9874075351661772,18.452711197336015,-0.01105574941250553,-44.37474280528169,1.0,21.60002106536209,1.0,0.015553992101837083,4.124627453577544,0.9457407187262019,1.0,-0.5929147826834491,7.404227691337363
