time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality
0.0,0.0,1.0,-3.567105342741267,11.55710602673345,7.05472871951396,-0.0025899185012765833,0.00014861275303437778,0.001697870518871144,14.0021476047536,0.00310040769778282,1.0,0.0,3.600756630726422,-178.47686827365297,451.3485857159196,42.18669712124764,2.0254531145758117,0.17937241014133767,1.0,449.3794866581097,0.0,1.0,45.818684704627636,1207.7762988351562,1.0,1.0,5.407943136095607,21.715519963451204,-1.678530464324453,-42.853314571377425,1.0,449.59370880351315,0.0,1.0,-0.27629555862650074,3.586918488082886,,,
0.04,0.04,1.0,-2.6533222319690246,8.722555796623015,9.397330070267973,0.767106955263303,-0.10321505849879731,-0.76751917658174,13.09323913099526,1.0900422540135577,1.0,0.0,3.600756630726422,-178.47686827365297,451.3485857159196,42.18669712124764,2.0254531145758117,0.17937241014133767,1.0,448.5194376638763,0.0,1.0,44.50354870095264,1186.1318474534414,1.0,1.0,5.407943136095607,21.715519963451204,-1.678530464324453,-42.853314571377425,1.0,449.59370880351315,0.0,1.0,-0.27629555862650074,3.586918488082886,,,
0.08,0.08,1.0,-1.8471134434890166,4.710139258548789,6.769128587240562,-0.005257704657193345,0.13671982082053669,-1.534002639205355,8.450937328997169,1.5400922212492523,1.0,0.0,3.600756630726422,-178.47686827365297,451.3485857159196,42.18669712124764,2.0254531145758117,0.17937241014133767,1.0,449.2746550096728,0.0,1.0,45.31793392758456,1163.4492854094253,1.0,1.0,-1.958929557344723,21.953066914564776,-0.895388081796087,-42.59169122279886,1.0,450.2337521242542,0.0,1.0,1.9747043906735389,3.216212697177489,,,
0.12,0.12,1.0,-1.2809796779629892,0.24579581512608373,5.727366655018131,0.7283409345537221,0.09148161423089032,-1.9271531696525774,5.874015093537063,2.0622242220454243,1.0,0.0,3.600756630726422,-178.47686827365297,451.3485857159196,42.18669712124764,2.0254531145758117,0.17937241014133767,1.0,450.3923036959097,0.0,1.0,44.24868422904549,1176.1880257762557,1.0,1.0,-1.958929557344723,21.953066914564776,-0.895388081796087,-42.59169122279886,1.0,450.2337521242542,0.0,1.0,1.9747043906735389,3.216212697177489,,,
0.16,0.16,1.0,-1.1082403877806497,-2.768385719821343,7.657595558729872,-0.04015084002517608,-0.04661819744619954,-1.1607486058141154,8.21772024298092,1.1623780246491555,1.0,0.0,3.600756630726422,-178.47686827365297,451.3485857159196,42.18669712124764,2.0254531145758117,0.17937241014133767,1.0,448.98617159408997,0.0,1.0,44.54360397596113,1166.0567537820018,1.0,1.0,-7.311076856750069,22.13437484364229,0.6173785987653879,-42.607783420507914,1.0,450.0306845221809,0.0,1.0,3.615461089469371,2.695163421316739,,,
0.2,0.2,1.0,-0.770823578238347,-1.8722011843258686,7.433451714425994,0.16446617395128293,0.042616574820008024,-0.3883997397971347,7.704252764159682,0.42393354750248885,1.0,0.0,10.702734690306947,-179.9747044160921,452.1857669076222,41.77375688587066,2.7911998796087967,-0.42928282267334844,1.0,448.7687109082091,0.0,1.0,44.66696190915552,1172.9521955171708,1.0,1.0,-7.311076856750069,22.13437484364229,0.6173785987653879,-42.607783420507914,1.0,450.0306845221809,0.0,1.0,3.615461089469371,2.695163421316739,,,
0.24,0.24,1.0,-0.4416676112126868,0.2227562666102805,7.153279129071996,-0.5613807040793588,0.08526187845878974,0.3755593657882909,7.17036211997173,0.6807809633518415,1.0,0.0,10.702734690306947,-179.9747044160921,452.1857669076222,41.77375688587066,2.7911998796087967,-0.42928282267334844,1.0,449.15090408276575,0.0,1.0,44.62679082593263,1168.347332409577,1.0,1.0,-8.295086532831967,22.319637100966176,1.2810554941999044,-42.47401851375281,1.0,450.34016241154444,0.0,1.0,2.842870807169968,1.0960163792020512,,,
0.28,0.28,1.0,-0.2385535923211089,2.460553633039215,6.848347693594421,0.20802673802931831,0.10052318899607712,0.5532872153173648,7.280872072068827,0.5995888407022796,1.0,0.0,10.702734690306947,-179.9747044160921,452.1857669076222,41.77375688587066,2.7911998796087967,-0.42928282267334844,1.0,451.24175382532326,0.0,1.0,44.333468672820516,1177.6245710459975,1.0,1.0,-8.295086532831967,22.319637100966176,1.2810554941999044,-42.47401851375281,1.0,450.34016241154444,0.0,1.0,2.842870807169968,1.0960163792020512,,,
0.32,0.32,1.0,-0.022810479768619916,3.3304334033573375,6.4899029559009085,-0.3655728134457279,0.09295755001268352,-0.2193550967836369,7.294597134125843,0.43634991293679004,1.0,0.0,10.702734690306947,-179.9747044160921,452.1857669076222,41.77375688587066,2.7911998796087967,-0.42928282267334844,1.0,451.183269412023,0.0,1.0,44.55317804970415,1171.6364266005858,1.0,1.0,-7.945249933576696,22.701824641995092,1.097077210116122,-42.310469522087075,1.0,449.67721874212185,0.0,1.0,2.475255522637047,1.3273375128329916,,,
0.36,0.36,1.0,0.08655807673267749,0.3905814480022842,6.5863801786219796,0.40296102067389655,0.0513514379035805,-0.9827950379865786,6.598518775112769,1.0634381228112684,1.0,0.0,10.702734690306947,-179.9747044160921,452.1857669076222,41.77375688587066,2.7911998796087967,-0.42928282267334844,1.0,450.20160519566224,0.0,1.0,44.50998898145942,1157.873907558815,1.0,1.0,-7.945249933576696,22.701824641995092,1.097077210116122,-42.310469522087075,1.0,449.67721874212185,0.0,1.0,2.475255522637047,1.3273375128329916,,,
