time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,17.089473733673106,-0.02973773807099401,0.17662175509873101,0.0016677683591043149,0.0011681274632859406,0.0012765720485123657,17.090412285001868,0.00240324973008537,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.62705682436835,4465.525352623238,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.03,0.03,1.0,17.396244479696897,-0.01435698229198223,0.6886282541675011,0.00227870121700718,-0.15518965861156028,0.0009052063149970115,17.40987469779042,0.1552090268563067,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.44847029073749,4493.7730199296575,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.06,0.06,1.0,17.704005531554397,-0.040865823476678685,1.2236155596896918,-0.0028398648926588497,-0.18272117719737893,-0.0015355968733229042,17.746287412153332,0.1827496962699579,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.526029305795074,0.0,1.0,85.93810156585161,4525.844490958644,1.0,1.0,0.07321572507599795,19.051633273590532,-0.026914818962720098,-44.01670170715468,1.0,20.44437918642227,1.0,-0.00010014841796547101,4.2191320453843275,0.9488515176395192,1.0,-0.1571242879183091,6.398144502912851
0.09,0.09,1.0,17.977928092968018,-0.004364484688315799,1.4143950974990716,0.0012974376529873472,-0.11381445577459348,0.001177630428237802,18.033480835836563,0.11382794253238436,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.526029305795074,0.0,1.0,87.23044371911043,4643.934242920982,1.0,1.0,0.07321572507599795,19.051633273590532,-0.026914818962720098,-44.01670170715468,1.0,20.44437918642227,1.0,-0.00010014841796547101,4.2191320453843275,0.9488515176395192,1.0,-0.1571242879183091,6.398144502912851
0.12,0.12,1.0,18.243748866338237,-0.008234755358805256,1.5290844198325266,0.0029557101259373103,-0.05630966562075726,-0.004272624087438873,18.307718035631535,0.05654882829257051,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.835296556620964,0.0,1.0,87.26356473046994,4712.610047778156,1.0,1.0,-1.9034282567597944,18.840833773035076,-0.006994163735382045,-44.08140969183615,1.0,20.159613396982472,1.0,-0.014477037212775526,4.181138647333237,0.9477631965478525,1.0,0.28943533398110544,7.474549240186705
0.15,0.15,1.0,18.542976103511602,-0.030567730790696985,1.6896764340898718,0.0013074287992247125,-0.04949763107564984,-0.0030783060327520917,18.61982555271361,0.049610491029594306,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.835296556620964,0.0,1.0,87.53966481836079,4739.75925432716,1.0,1.0,-1.9034282567597944,18.840833773035076,-0.006994163735382045,-44.08140969183615,1.0,20.159613396982472,1.0,-0.014477037212775526,4.181138647333237,0.9477631965478525,1.0,0.28943533398110544,7.474549240186705
0.18,0.18,1.0,18.748352245116116,-0.042577221658550594,1.9094868294924372,0.0014102797908761993,-0.059289185017973235,-0.002327487539441737,18.845388419418683,0.05935160947632568,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.082305301102334,0.0,1.0,88.03086687436317,4843.147042342706,1.0,1.0,-0.5562341585160822,18.729986257235904,0.026496603719618855,-44.221196723795295,1.0,21.361831931629176,1.0,0.005993326407555316,4.138845108641095,0.94672950472432,1.0,-0.49271252303698165,6.69241308166701
0.21,0.21,1.0,19.03918360687184,0.0654861991528572,2.109461699282648,0.0001589792514000625,-0.04988877215533666,-0.0003884229961238783,19.15579884836958,0.0498905375195877,1.0,0.0,18.158497973532736,-0.8505201034817174,22.52851851093021,88.79108599194562,-0.10577058458715469,6.696073112562582,1.0,20.082305301102334,0.0,1.0,88.81121651448117,4833.564047342548,1.0,1.0,-0.5562341585160822,18.729986257235904,0.026496603719618855,-44.221196723795295,1.0,21.361831931629176,1.0,0.005993326407555316,4.138845108641095,0.94672950472432,1.0,-0.49271252303698165,6.69241308166701
0.24,0.24,1.0,19.340020750339857,-0.054448748963033845,2.3113652593467395,0.0019091649367176694,-0.03678346092877151,-0.00025046185995798243,19.4777251405793,0.0368338246696884,1.0,0.0,18.158497973532736,-0.8505201034817174,22.52851851093021,88.79108599194562,-0.10577058458715469,6.696073112562582,1.0,22.185472296822848,0.0,1.0,89.45723657184935,4891.127672119592,1.0,1.0,-1.0056891601547093,18.64236278597983,-0.016420549769640524,-44.295506018700046,1.0,21.597930174194296,1.0,0.014251888953545481,4.126185957194981,0.9457459459541214,1.0,-0.576052924133447,7.15888222819358
0.27,0.27,1.0,19.55241002659721,-0.023656146173613703,2.4549051650069127,0.0032024567596951195,-0.02279101991506628,-0.0034857397197124917,19.70593455867061,0.023277386010036566,1.0,0.0,18.158497973532736,-0.8505201034817174,22.52851851093021,88.79108599194562,-0.10577058458715469,6.696073112562582,1.0,22.185472296822848,0.0,1.0,90.12873086763831,4961.811637147024,1.0,1.0,-1.0056891601547093,18.64236278597983,-0.016420549769640524,-44.295506018700046,1.0,21.597930174194296,1.0,0.014251888953545481,4.126185957194981,0.9457459459541214,1.0,-0.576052924133447,7.15888222819358
