altitude_m,density_kgpm3,pressure_pa,temperature_k,speed_of_sound_mps,gravity_mps2,wind_x_mps,wind_y_mps,wind_z_mps
0.0,1.225000018124288,101325.0,288.15,340.293988026089,9.80665,-4.717356090899523,4.130575636401909,-0.35867804544976134
250.0,1.1958679237817624,98357.53401629669,286.525,339.3331003710808,9.80587869022441,-4.342356090899523,4.130575636401909,-0.35867804544976134
500.0,1.167268827861195,95460.8353365313,284.9,338.36948403808515,9.805107471442486,-3.9673560908995227,4.130575636401909,-0.35867804544976134
750.0,1.139195935492775,92633.60556773993,283.275,337.403115647959,9.804336343639923,-3.5923560908995227,4.130575636401909,-0.35867804544976134
1000.0,1.1116425003060326,89874.56291621955,281.65,336.43397148578794,9.803565306802405,-3.2173560908995227,4.130575636401909,-0.35867804544976134
1250.0,1.0846018243589064,87182.44206871101,280.025,335.46202749409656,9.802794360915627,-2.8423560908995227,4.130575636401909,-0.35867804544976134
1500.0,1.058067258066508,84555.99407375645,278.4,334.4872592658799,9.802023505965284,-2.4673560908995227,4.130575636401909,-0.35867804544976134
1750.0,1.0320322001295716,81993.98622323097,276.775,333.5096420374529,9.801252741937077,-2.0923560908995227,4.130575636401909,-0.35867804544976134
2000.0,1.0064900974626037,79495.20193405099,275.15,332.5291506811094,9.800482068816706,-1.7173560908995227,4.130575636401909,-0.35867804544976134
2250.0,0.9814344451217146,77058.44063005871,273.525,331.5457596975868,9.799711486589873,-1.3423560908995227,4.130575636401909,-0.35867804544976134
2500.0,0.9568587862321352,74682.51762408376,271.9,330.5594432083282,9.798940995242289,-0.9673560908995227,4.130575636401909,-0.35867804544976134
2750.0,0.9327567119154132,72366.26400018323,270.275,329.57017494753677,9.798170594759663,-0.5923560908995227,4.130575636401909,-0.35867804544976134
3000.0,0.90912186121629,70108.52649606044,268.65,328.577928254014,9.797400285127708,-0.21735609089952268,4.130575636401909,-0.35867804544976134
3250.0,0.8859479210292491,67908.16738566352,267.025,327.5826760627765,9.796630066332138,0.15764390910047732,4.130575636401909,-0.35867804544976134
3500.0,0.8632286260247354,65764.06436196422,265.4,326.58439089644196,9.795859938358673,0.5326439091004773,4.130575636401909,-0.35867804544976134
3750.0,0.8409577585750406,63675.110419918135,263.775,325.5830448563776,9.795089901193034,0.9076439091004773,4.130575636401909,-0.35867804544976134
4000.0,0.8191291486798576,61640.21373960736,262.15,324.5786096136035,9.794319954820946,1.2826439091004773,4.130575636401909,-0.35867804544976134
4250.0,0.7977366738914865,59658.29756956538,260.525,323.57105639944064,9.793550099228133,1.6576439091004773,4.130575636401909,-0.35867804544976134
4500.0,0.7767742592397031,57728.30011028643,258.9,322.5603559958973,9.792780334400327,2.0326439091004773,4.130575636401909,-0.35867804544976134
4750.0,0.75623587715628,55849.17439791918,257.275,321.5464787257823,9.79201066032326,2.4076439091004773,4.130575636401909,-0.35867804544976134
5000.0,0.736115547399152,54019.888188145786,255.64999999999998,320.5293944425378,9.791241076982665,2.7826439091004773,4.130575636401909,-0.35867804544976134
5250.0,0.71640733697623,52239.423840247524,254.02499999999998,319.5090725197799,9.790471584364285,3.1576439091004773,4.130575636401909,-0.35867804544976134
5500.0,0.6971053600688583,50506.778201357636,252.39999999999998,318.4854818405385,9.789702182453857,3.5326439091004773,4.130575636401909,-0.35867804544976134
5750.0,0.6782037779549008,48820.96249090201,250.77499999999998,317.45859078618423,9.788932871237124,3.9076439091004773,4.130575636401909,-0.35867804544976134
6000.0,0.6596967989314693,47181.00218522916,249.14999999999998,316.42836722503245,9.788163650699834,4.282643909100477,4.130575636401909,-0.35867804544976134
6250.0,0.6415786782372761,45585.93690243008,247.52499999999998,315.39477850061184,9.787394520827739,4.657643909100477,4.130575636401909,-0.35867804544976134
6500.0,0.6238437179746107,44034.8202873487,245.89999999999998,314.3577914195861,9.786625481606587,5.032643909100477,4.130575636401909,-0.35867804544976134
6750.0,0.6064862670309383,42526.71989678427,244.27499999999998,313.31737223931583,9.785856533022134,5.407643909100477,4.130575636401909,-0.35867804544976134
7000.0,0.5895007210001167,41060.71708488657,242.64999999999998,312.2734866550473,9.785087675060138,5.782643909100477,4.130575636401909,-0.35867804544976134
7250.0,0.5728815221032189,39635.90688874431,241.02499999999998,311.22609978671454,9.784318907706359,6.157643909100477,4.130575636401909,-0.35867804544976134
7500.0,0.5566231591089673,38251.39791416855,239.39999999999998,310.1751761653405,9.783550230946561,6.532643909100477,4.130575636401909,-0.35867804544976134
7750.0,0.5407201672537718,36906.31222167155,237.77499999999998,309.1206797190217,9.782781644766512,6.907643909100477,4.130575636401909,-0.35867804544976134
8000.0,0.5251671281613589,35599.78521264196,236.14999999999998,308.06257375848173,9.782013149151975,7.282643909100477,4.130575636401909,-0.35867804544976134
8250.0,0.5099586697620015,34330.96551571785,234.52499999999998,307.0008209621759,9.781244744088728,7.657643909100477,4.130575636401909,-0.35867804544976134
8500.0,0.4950894662113321,33099.01487335802,232.89999999999998,305.93538336093127,9.78047642956254,8.032643909100477,4.130575636401909,-0.35867804544976134
8750.0,0.48055423780874107,31903.108028613093,231.27499999999998,304.8662223221031,9.779708205559194,8.407643909100477,4.130575636401909,-0.35867804544976134
9000.0,0.46634775091535224,30742.432612096898,229.64999999999998,303.79329853322963,9.778940072064461,8.782643909100477,4.130575636401909,-0.35867804544976134
9250.0,0.45246481787157156,29616.189029159712,228.02499999999998,302.7165719851657,9.778172029064137,9.157643909100477,4.130575636401909,-0.35867804544976134
9500.0,0.43890029691420557,28523.590347264144,226.39999999999998,301.6360019546738,9.777404076543997,9.532643909100477,4.130575636401909,-0.35867804544976134
9750.0,0.4256490920931384,27463.86218356457,224.77499999999998,300.5515469864529,9.776636214489832,9.907643909100477,4.130575636401909,-0.35867804544976134
