time_s,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,gps_valid,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_alt_m,pitot_airspeed_mps,pitot_qbar_pa,mag_heading_deg
0.0,17.56339402572519,0.04248571114457688,-0.7813308927096466,-0.00027568490497605015,0.0007811719919156668,0.000485939220168199,1.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,120.4318804253634,87.99906270437734,4695.892219494843,-0.0842050595302957
0.03,17.912360138452424,0.0019232785105255802,-0.045710205245659566,-0.0003006696581589329,-0.22311851703557128,-0.0005806818712850017,1.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,120.4318804253634,87.58767463363866,4703.669027798601,-0.0842050595302957
0.06,18.130011513814804,-0.014630319729742006,0.4803577214712539,0.0012516950984654933,-0.24019699999492716,-0.0010046332504057198,1.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,120.74335633396379,88.57589800866762,4701.231186457868,1.060577033780266
0.09,18.38576490895983,-0.006343735965257049,0.878578321273519,-0.0022543300413998806,-0.14288490757992647,-1.609210652151071e-05,1.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,120.74335633396379,88.07730500110682,4705.464932112768,1.060577033780266
0.12,18.693897793828256,0.044788394899070084,1.0467402386054425,0.00027528253552988065,-0.052536486143801846,-0.0024346490126345914,1.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,121.21429012067594,89.26393789327,4818.298642802172,0.8975121063479822
0.15,19.002181362884926,0.021430475931926055,1.2257007840804144,-0.0037109480646664414,-0.018003754825441386,0.0008288514001296105,1.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,121.21429012067594,90.87154319150753,4889.900289116442,0.8975121063479822
0.18,19.34274414953687,0.007637135095207556,1.246258720811105,0.0011757095770177771,-0.019843839951264163,0.0018080672402177045,1.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,123.03957375353215,91.11025377267826,5013.17537108732,-0.38064726983906355
0.21,19.61461689272588,0.0013492301031115539,1.4012402796555552,3.226094024568284e-05,-0.03390537060393678,0.001062644083160155,1.0,19.418477713539886,-0.9111179911707836,121.99392621224482,89.85365751086795,-0.03613738819271852,14.86249379570675,123.03957375353215,91.54845077477663,4997.925948880154,-0.38064726983906355
0.24,19.902100260419527,-0.029399168694247104,1.615118125317905,0.001208858159578876,-0.023153434784573136,-0.0025706129727260407,1.0,19.418477713539886,-0.9111179911707836,121.99392621224482,89.85365751086795,-0.03613738819271852,14.86249379570675,123.84648928753087,91.65482920080993,5136.197089471716,-0.2492597359982977
0.27,20.17348540959769,0.005900479432854425,1.8280135095313192,-0.00310797860344494,-0.009374294146045695,0.0005630132050104556,1.0,19.418477713539886,-0.9111179911707836,121.99392621224482,89.85365751086795,-0.03613738819271852,14.86249379570675,123.84648928753087,91.97363750548541,5190.272139149308,-0.2492597359982977
0.3,20.469867337770925,-0.017877109280465837,1.9517851458654065,-0.0024423580098662996,0.0029288441492061417,0.0015362482317314754,1.0,19.418477713539886,-0.9111179911707836,121.99392621224482,89.85365751086795,-0.03613738819271852,14.86249379570675,124.8987760908523,92.00231922265479,5196.572855620153,0.26849469687579763
0.32999999999999996,20.793277392074003,0.043772337241226665,2.0508675278560102,0.0016712107247137944,0.009847575308446047,0.0007578284782962891,1.0,19.418477713539886,-0.9111179911707836,121.99392621224482,89.85365751086795,-0.03613738819271852,14.86249379570675,124.8987760908523,93.87282401958326,5235.2795854697215,0.26849469687579763
0.36,21.128167445463323,-0.017870559935901517,2.1471067285505345,-0.00023559909210704648,0.013931015747416706,0.0019512914701141793,1.0,19.418477713539886,-0.9111179911707836,121.99392621224482,89.85365751086795,-0.03613738819271852,14.86249379570675,125.05437488485103,93.39523862357117,5325.781012324614,1.955180083760854
0.39,21.40502129600619,-0.010451902643674698,2.1880775729319715,-0.0019208757258799695,0.014338207852451192,-0.0002558941290876868,1.0,19.418477713539886,-0.9111179911707836,121.99392621224482,89.85365751086795,-0.03613738819271852,14.86249379570675,125.05437488485103,94.64130734830945,5398.482079529345,1.955180083760854
0.42,21.475535671229604,0.08133435374029273,2.3154052579839823,-0.001263353532856869,0.02059762116298069,0.0013680549367068868,1.0,39.93022727794441,2.0332605374227546,125.64503918199138,94.03473850143888,0.004343727693866133,13.900476715977739,126.31201718597644,95.71357696066111,5377.074258734395,0.07592515977070044
0.44999999999999996,21.50475861323315,0.011153564881100109,2.3662828074609172,-6.552820908447302e-05,0.028514885386468,0.0013091087997822483,1.0,39.93022727794441,2.0332605374227546,125.64503918199138,94.03473850143888,0.004343727693866133,13.900476715977739,126.31201718597644,95.86993179118558,5547.125216416129,0.07592515977070044
0.48,21.53703454605473,0.04026043443317581,2.461454071515955,-0.0036989356236755196,0.02764303492634728,-0.0004142404463322879,1.0,39.93022727794441,2.0332605374227546,125.64503918199138,94.03473850143888,0.004343727693866133,13.900476715977739,126.88455899725989,95.89078026528827,5588.65174420828,2.0483201597596667
0.51,21.426113940466294,-0.0024606601985837522,2.6239118342352046,0.0024180415490877055,0.03380267174791516,0.0006573266387081563,1.0,39.93022727794441,2.0332605374227546,125.64503918199138,94.03473850143888,0.004343727693866133,13.900476715977739,126.88455899725989,96.55194365365574,5661.013163983511,2.0483201597596667
0.54,21.401631597588185,-0.03592982937276085,2.7005221128163175,-0.0018609884651638426,0.030444118772833505,-0.00016816018594909574,1.0,39.93022727794441,2.0332605374227546,125.64503918199138,94.03473850143888,0.004343727693866133,13.900476715977739,128.7005535180479,97.37223017530533,5697.211705353917,-0.03940062170181914
0.57,21.44770680253365,0.025682673826777053,2.786647092598273,0.0014755079504572973,0.0328537135953892,-9.587819676281701e-05,1.0,39.93022727794441,2.0332605374227546,125.64503918199138,94.03473850143888,0.004343727693866133,13.900476715977739,128.7005535180479,97.73222893102495,5840.0893256975605,-0.03940062170181914
0.6,21.393623815953745,0.06940949843675169,2.8749755477678502,-0.0009155566990363014,0.032768101737315,-0.00013359360338632037,1.0,39.93022727794441,2.0332605374227546,125.64503918199138,94.03473850143888,0.004343727693866133,13.900476715977739,127.6181878051972,98.09999563872692,5834.50089481699,1.2672604250374986
0.63,21.33825511032465,0.018593151633405244,2.826098093176268,0.0008068273880602428,0.03298471692820146,0.003332734455904359,1.0,56.347559815793936,-2.369897657162302,130.74614568053903,98.28723789079541,0.08516999583013322,13.288359421291798,127.6181878051972,99.53433964376316,5972.311939353099,1.2672604250374986
0.6599999999999999,21.384626753350833,0.0033644878524813036,2.9726481148572597,0.00032252780410555506,0.03609300778800927,0.00037665454911906747,1.0,56.347559815793936,-2.369897657162302,130.74614568053903,98.28723789079541,0.08516999583013322,13.288359421291798,128.219411486969,99.69894237270742,5930.656235639826,0.5507818050822298
