time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,14500.0,168.0,0.0,10.0,168.2973558912914,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5935562450052811,0.0,2967.811486241532,0.5703651498833013,168.29735589129137,2.248005065083861,0.20956160755836276,13032.637272130847,216.64999999999998,0.0,0.0,0.0,478.40000000000003,0.23796694453104436,0.92,nominal,156358.425,nan,pitch_program,6.000000000000001,0.0,0.0,-13.62160000000002,-0.0,0.0,-4.8,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.08377580409572781,0.0,0.0,-0.08377580409572781,0.0,0.0,0.0,1.0,22.039952029066992,0.06421624096399967,-0.05549153272046388,8.96710374289511e-06,-0.00392686140635816,-0.00033643320647488983,22.040115437070227,0.003941257187258108,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14497.48871022862,0.0,1.0,167.72453538558904,3025.811276576433,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.04,6.737639783316654,0.0,14500.393475421926,168.8829682267017,0.0,9.676405761284657,169.15995325584055,20.990437389859768,0.0,4.339834280684275,0.0,0.0,-16.592933380646375,0.0,1.0605710608507573,0.0,2998.126078763367,0.5732885200843033,169.15995325584055,2.2666637922353754,0.20954860538516928,13031.828666924224,216.64999999999998,0.0,0.0,0.0,482.816,0.24016356248056167,0.92,nominal,156507.82856850553,nan,pitch_program,6.0200000000000005,0.0,0.0,1.0551273188844021,-0.0,0.0,-0.1158981448924788,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020228042253272044,0.0,0.0,-0.0020228042253272044,0.0,0.0,0.04,1.0,22.24873946132101,0.004457972158902777,0.4996330865135506,-8.975239615825204e-05,-0.2906811470180924,0.006616684680462875,22.254349253851426,0.29075645788770904,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.748873000204,0.0,1.0,169.44442580350932,3009.2588409429563,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.08,13.510675809482459,0.0,14500.774693512798,169.7695298719189,0.0,9.388483235728337,170.02892956905868,20.980786915001556,0.0,4.902500286799463,0.0,0.0,-11.17895002505384,0.0,1.737190782765045,0.0,3028.825921687474,0.5762335087474278,170.02892956905865,2.284890723897176,0.20953600901797245,13031.045298794272,216.64999999999998,0.0,0.0,0.0,487.232,0.242360180430079,0.92,nominal,156658.94059333723,nan,pitch_program,6.04,0.0,0.0,2.7508085664816058,-0.0,0.0,2.1774672242067887,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.038003972416670036,0.0,0.0,0.038003972416670036,0.0,0.0,0.08,1.0,22.35972452380551,-0.02338347405040481,1.1176302034438883,0.00032815998591068275,-0.19781331304695504,0.0015816988868904915,22.3876511684227,0.1978199087022279,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14495.27147555864,0.0,1.0,169.8612904996725,3039.8881526966916,1.0,1.0,-0.7490479202685634,20.358235520444065,-0.015398035674553966,-43.4063591200609,0.0,0.0,1.0,-0.0923479037681312,5.353273778627554
0.12,20.319258502250513,0.0,14501.144927420399,170.66077604059166,0.0,9.12450739072165,170.9045263119158,20.97104857542536,0.0,5.023787688223519,0.0,0.0,5.127578841937682,0.0,1.9633394938108457,0.0,3059.922641296789,0.5792009342594462,170.90452631191582,2.304675328335099,0.20952377631952226,13030.284547225232,216.64999999999998,0.0,0.0,0.0,491.648,0.24455679837959635,0.92,nominal,156811.8314594374,nan,pitch_program,6.06,0.0,0.0,0.04808426211010326,-0.0,0.0,0.4354934448413579,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.007600794483334009,0.0,0.0,0.007600794483334009,0.0,0.0,0.12,1.0,22.542409181046313,-0.04084592173786858,1.175822976370634,-0.00237234848955191,0.09166929599203533,0.0011583307911810347,22.57309105432406,0.09170730393623543,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14505.84313027162,0.0,1.0,171.10261903178161,3008.8983462177853,1.0,1.0,-0.7490479202685634,20.358235520444065,-0.015398035674553966,-43.4063591200609,0.0,0.0,1.0,-0.0923479037681312,5.353273778627554
0.16,27.163666982177034,0.0,14501.504520761884,171.56139953235478,0.0,8.853404244008011,171.78968704846076,20.961222371131186,0.0,4.650365412624585,0.0,0.0,13.320071551461773,0.0,1.6962444612629397,0.0,3091.5257500686016,0.5822007724535554,171.78968704846076,2.3269159305379805,0.20951189587391908,13029.545702262256,216.64999999999998,0.0,0.0,0.0,496.0640000000001,0.2467534163291137,0.92,nominal,156967.0275966336,nan,pitch_program,6.08,0.0,0.0,-3.265311401288854,-0.0,0.0,-2.525150432062812,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04407218914765346,0.0,0.0,-0.04407218914765346,0.0,0.0,0.16,1.0,22.788478962345394,0.03319989188614972,0.7455089546989091,0.0022162629116312224,0.23321602005571843,-0.0002460041148525029,22.800694271263236,0.23322668018463766,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.35319673054,0.0,1.0,171.9466576047514,3077.1977101935117,1.0,1.0,-0.7611812131334899,20.635277163111777,0.00853686375760408,-43.38103962212672,0.0,0.0,1.0,0.21453848142004184,4.868856309991614
0.2,34.044332100701084,0.0,14501.852840808804,172.4736294960352,0.0,8.560541478015985,172.68594540938312,20.95130830211903,0.0,4.230187439830186,0.0,0.0,7.545651242111871,0.0,1.388705409280882,0.0,3123.6964369451516,0.5852382208534687,172.68594540938312,2.350356796164119,0.20950038852401606,13028.830060122473,216.64999999999998,0.0,0.0,0.0,500.48,0.24895003427863102,0.92,nominal,157124.81303228386,nan,pitch_program,6.1,0.0,0.0,-3.8055300235734966,-0.0,0.0,-3.5494541052713595,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.06194966078541464,0.0,0.0,-0.06194966078541464,0.0,0.0,0.2,1.0,23.03884530593878,0.0045659909310376305,0.4764636660085269,0.002825913862601225,0.12659449622650495,-0.0017066103174499042,23.043772076295944,0.12663753307284947,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14502.950991360905,0.0,1.0,172.12990687565346,3104.114156350939,1.0,1.0,-0.7611812131334899,20.635277163111777,0.00853686375760408,-43.38103962212672,0.0,0.0,1.0,0.21453848142004184,4.868856309991614
0.24,40.96169123273987,0.0,14502.189207258803,173.39573574426046,0.0,8.25778989901868,173.59225866469316,20.941306368388897,0.0,4.138574385299663,0.0,0.0,-2.868721797906578,0.0,1.4119831248163857,0.0,3156.403450406609,0.5883097456137272,173.59225866469316,2.372103568147276,0.20948927668155398,13028.139014592136,216.64999999999998,0.0,0.0,0.0,504.89599999999996,0.2511466522281483,0.92,nominal,157285.0299235194,nan,pitch_program,6.12,0.0,0.0,-1.8160877354533225,-0.0,0.0,-2.16276100941693,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.037747300548081515,0.0,0.0,-0.037747300548081515,0.0,0.0,0.24,1.0,23.260251324569865,0.0030382783380873196,0.6651884585185456,0.001759196210680961,-0.048261651999073604,0.005552013942351433,23.2697609914377,0.04861179572699845,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14503.559838637753,0.0,1.0,174.40881729002885,3205.1951341169856,1.0,1.0,-1.1114201617609234,20.90513105155556,0.06279654633319463,-43.23043895729142,0.0,0.0,1.0,0.08449078060680751,4.421143807757207
0.28,47.91608299637113,0.0,14502.513633850114,174.32496148596778,0.0,7.965312041430699,174.5068433987662,20.93121656994078,0.0,4.323999450078588,0.0,0.0,-6.189481704612525,0.0,1.7078419677337495,0.0,3189.587416792722,0.5914093026814419,174.50684339876622,2.392307265988598,0.20947855982985944,13027.472533539325,216.64999999999998,0.0,0.0,0.0,509.31200000000007,0.2533432701776657,0.92,nominal,157447.39452389698,nan,pitch_program,6.14,0.0,0.0,0.006585746067173053,-0.0,0.0,-0.4325522018833862,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075494601096163065,0.0,0.0,-0.0075494601096163065,0.0,0.0,0.28,1.0,23.418056981487606,0.03414839186664129,0.9460262960720786,0.002028252075046659,-0.10349398905008297,0.0032549845405176157,23.437182523795972,0.10356502546872488,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14499.835512411473,0.0,1.0,173.98061934791193,3237.8592003989365,1.0,1.0,-1.1114201617609234,20.90513105155556,0.06279654633319463,-43.23043895729142,0.0,0.0,1.0,0.08449078060680751,4.421143807757207
0.32,54.90776628107006,0.0,14502.826690486356,175.26035558264593,0.0,7.689004386417005,175.4289401079817,20.921038906774683,0.0,4.465043747266885,0.0,0.0,-0.7482652408400684,0.0,1.9529800376154764,0.0,3223.225005802636,0.5945343180744247,175.4289401079817,2.412581581528654,0.20946821908403607,13026.829442512255,216.64999999999998,0.0,0.0,0.0,513.728,0.255539888127183,0.92,nominal,157611.80187796292,nan,pitch_program,6.16,0.0,0.0,-0.20436520995098661,-0.0,0.0,-0.2500026083374665,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.004363368654062618,0.0,0.0,-0.004363368654062618,0.0,0.0,0.32,1.0,23.631855437135364,-0.03823278540144194,1.198482583572803,-0.0007698503487642755,-0.014704219993318588,0.0016271624951772715,23.66225715460533,0.01481399382196152,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14506.304297980932,0.0,1.0,174.8334213361279,3271.3551335159977,1.0,1.0,0.5599854402746506,20.661269578786893,0.0012030225546295838,-43.29404081176841,0.0,0.0,1.0,-0.14368028964104557,4.059053328842266
0.36,61.93701308798352,0.0,14503.128826940909,176.20342371085496,0.0,7.417729386086833,176.35948864938428,20.910773378890607,0.0,4.364519776282281,0.0,0.0,5.725298190005646,0.0,1.9539321703421177,0.0,3257.3551715421913,0.5976879769984164,176.35948864938428,2.43380388878461,0.20945823953280085,13026.208814178168,216.64999999999998,0.0,0.0,0.0,518.1440000000001,0.2577365060767004,0.92,nominal,157778.4429290562,nan,pitch_program,6.18,0.0,0.0,-1.7831126939621134,-0.0,0.0,-1.476490676837184,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.025769623685808436,0.0,0.0,-0.025769623685808436,0.0,0.0,0.36,1.0,23.833523286521192,0.017078488452456634,1.1141940187170865,0.002625691012318353,0.10017895409981681,-0.004200281309021834,23.859558927927832,0.10030134326568259,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14500.86760531122,0.0,1.0,176.75762213619822,3277.5430596646524,1.0,1.0,0.5599854402746506,20.661269578786893,0.0012030225546295838,-43.29404081176841,0.0,0.0,1.0,-0.14368028964104557,4.059053328842266
