time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,22.039952029066992,0.06421624096399967,-0.05549153272046388,8.96710374289511e-06,-0.00392686140635816,-0.00033643320647488983,22.040115437070227,0.003941257187258108,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14497.48871022862,0.0,1.0,167.72453538558904,3025.811276576433,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.04,0.04,1.0,22.24873946132101,0.004457972158902777,0.4996330865135506,-8.975239615825204e-05,-0.2906811470180924,0.006616684680462875,22.254349253851426,0.29075645788770904,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.748873000204,0.0,1.0,169.44442580350932,3009.2588409429563,1.0,1.0,1.9849282074758248,21.07724535897506,0.014132475832505058,-43.128268434554464,0.0,0.0,1.0,0.3225627711320563,4.232969305443469
0.08,0.08,1.0,22.35972452380551,-0.02338347405040481,1.1176302034438883,0.00032815998591068275,-0.19781331304695504,0.0015816988868904915,22.3876511684227,0.1978199087022279,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14495.27147555864,0.0,1.0,169.8612904996725,3039.8881526966916,1.0,1.0,-0.7490479202685634,20.358235520444065,-0.015398035674553966,-43.4063591200609,0.0,0.0,1.0,-0.0923479037681312,5.353273778627554
0.12,0.12,1.0,22.542409181046313,-0.04084592173786858,1.175822976370634,-0.00237234848955191,0.09166929599203533,0.0011583307911810347,22.57309105432406,0.09170730393623543,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14505.84313027162,0.0,1.0,171.10261903178161,3008.8983462177853,1.0,1.0,-0.7490479202685634,20.358235520444065,-0.015398035674553966,-43.4063591200609,0.0,0.0,1.0,-0.0923479037681312,5.353273778627554
0.16,0.16,1.0,22.788478962345394,0.03319989188614972,0.7455089546989091,0.0022162629116312224,0.23321602005571843,-0.0002460041148525029,22.800694271263236,0.23322668018463766,1.0,0.0,-6.056244605796681,-14.452553801575789,14505.691541827058,168.06173605742853,-0.11079775418696261,10.04166907179879,1.0,14503.35319673054,0.0,1.0,171.9466576047514,3077.1977101935117,1.0,1.0,-0.7611812131334899,20.635277163111777,0.00853686375760408,-43.38103962212672,0.0,0.0,1.0,0.21453848142004184,4.868856309991614
0.2,0.2,1.0,23.03884530593878,0.0045659909310376305,0.4764636660085269,0.002825913862601225,0.12659449622650495,-0.0017066103174499042,23.043772076295944,0.12663753307284947,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14502.950991360905,0.0,1.0,172.12990687565346,3104.114156350939,1.0,1.0,-0.7611812131334899,20.635277163111777,0.00853686375760408,-43.38103962212672,0.0,0.0,1.0,0.21453848142004184,4.868856309991614
0.24,0.24,1.0,23.260251324569865,0.0030382783380873196,0.6651884585185456,0.001759196210680961,-0.048261651999073604,0.005552013942351433,23.2697609914377,0.04861179572699845,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14503.559838637753,0.0,1.0,174.40881729002885,3205.1951341169856,1.0,1.0,-1.1114201617609234,20.90513105155556,0.06279654633319463,-43.23043895729142,0.0,0.0,1.0,0.08449078060680751,4.421143807757207
0.28,0.28,1.0,23.418056981487606,0.03414839186664129,0.9460262960720786,0.002028252075046659,-0.10349398905008297,0.0032549845405176157,23.437182523795972,0.10356502546872488,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14499.835512411473,0.0,1.0,173.98061934791193,3237.8592003989365,1.0,1.0,-1.1114201617609234,20.90513105155556,0.06279654633319463,-43.23043895729142,0.0,0.0,1.0,0.08449078060680751,4.421143807757207
0.32,0.32,1.0,23.631855437135364,-0.03823278540144194,1.198482583572803,-0.0007698503487642755,-0.014704219993318588,0.0016271624951772715,23.66225715460533,0.01481399382196152,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14506.304297980932,0.0,1.0,174.8334213361279,3271.3551335159977,1.0,1.0,0.5599854402746506,20.661269578786893,0.0012030225546295838,-43.29404081176841,0.0,0.0,1.0,-0.14368028964104557,4.059053328842266
0.36,0.36,1.0,23.833523286521192,0.017078488452456634,1.1141940187170865,0.002625691012318353,0.10017895409981681,-0.004200281309021834,23.859558927927832,0.10030134326568259,1.0,0.0,31.75843507375499,-3.6933226876318983,14498.37366740766,172.35849312668424,-0.1382751029959232,8.637712478488085,1.0,14500.86760531122,0.0,1.0,176.75762213619822,3277.5430596646524,1.0,1.0,0.5599854402746506,20.661269578786893,0.0012030225546295838,-43.29404081176841,0.0,0.0,1.0,-0.14368028964104557,4.059053328842266
